question,тақырып,таңдаулар,жауап,sheet,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
 Бейсболда қанша доп жүріс жасайды?, әртүрлі,['бір' 'екі' 'үш' 'төрт'],3,Sheet1, Бейсболда қанша доп,жүріс жасайды?,5,Бейсболда қанша доп — соншақша доп.,0.0,0.0,0.46,0.36,No
" Егер нарық картельмен ұйымдастырылса, біз күте аламыз", орта мектеп_микроэкономикасы, ['барлық картельдік фирмалар үшін қалыпты пайда.' 'картельдік фирмалардың картельдік келісімді алдауына ынталандыру.' 'картельдегі жеке фирмалардың пайданы барынша арттыруы.' 'бөлудің тиімділігі.',1,Sheet1," Егер нарық картельмен ұйымдастырылса,",біз күте аламыз,...құқық нормаларына сәйкес келеді,"Сондықтан, нарық аралығындағы өзгерістерді бақылау қажет.",0.0,0.0,0.66,0.61,No
" Тұтынушы маркетологпен байланысуды таңдаған кезде, жарнама берушілердің білікті әлеуетті тұтынушыларды бағыттайтын немесе тұтынушы туралы ақпарат беретін онлайн компанияларға төлейтін төлемдері. Бұл келесідей аталады:", маркетинг, ['Лидерлерді тарту.' 'Іздеу.' 'Бай медиа.' 'Әлеуметтік медиа маркетинг.'],0,Sheet1," Тұтынушы маркетологпен байланысуды таңдаған кезде, жарнама берушілердің білікті әлеуетті тұтынушыларды бағыттайтын немесе тұтынушы туралы ақпарат беретін онлайн компанияларға төлейтін төлемдері.",Бұл келесідей аталады:,... және олардың ақпараттық тұрақтылығын қамтамасыз ету.,"Осылайша, бұл жағдайда электроникалық қызметтері мен қатаң талаптарды орындауда ерекше маңызды орнын алады.",0.0,0.0,0.7,0.78,No
 Бұл тағамдардың қайсысы иттерге улы?, әртүрлі, ['жержаңғақ майы' 'банан' 'шоколад' 'зәйтүн'],2,Sheet1, Бұл тағамдардың қайсысы,иттерге улы?,Бұл тағамдардың қайсысы ең қымбаттаған тағамдардың,Бұл тағамдардың қайсысы — табиғатқа жанасқан құндылық.,0.0,0.0,0.49,0.29,No
" Мотоцикл жинаушы мен оның досы бір-бірін көп жылдар бойы білетін. Коллекционер досына: «Мен сізге ең ескі мотоциклімді 4000 долларға сатуға дайынмын» деген хат жіберді. Досы коллекционерге: «Мен сіздің ұсынысыңызды қабылдаймын» деген электрондық хат жіберді. Коллекционердің үш мотоциклі болған: 1985 жылғы, 1987 жылғы және 1992 жылғы. Досы коллекционер сатпақ болған 1985 жылғы модель туралы білмеді. Коллекционер досының 1987 жылғы модельді сатып алуды көздегенін білмеді. Коллекционер 1985 жылғы модельді саудаға қойған кезде, досы оны қабылдаудан бас тартты. Досы коллекционерге қарсы келісімшартты бұзу туралы сот ісінде жеңіске жетуі мүмкін бе?", кәсіби_құқық,"[«Жоқ, себебі «ең көне мотоцикл» сөз тіркесінің мағынасын тереңірек сұрамау арқылы досы қателесу қаупін өз мойнына алды». «Жоқ, себебі досының да, коллекционердің де «ең көне мотоцикл» сөздерінің басқалардың түсіндірмесін білуге негізі болған жоқ». «Иә, егер досының жағдайындағы ақылға қонымды адам хатты 1987 жылғы үлгіге қатысты деп санаса». «Иә, себебі досының коллекционердің мағынасын білуге негізі болған жоқ және коллекционер мұқият жобалау арқылы шатасушылықтан аулақ бола алар еді».]",1,Sheet1," Мотоцикл жинаушы мен оның досы бір-бірін көп жылдар бойы білетін. Коллекционер досына: «Мен сізге ең ескі мотоциклімді 4000 долларға сатуға дайынмын» деген хат жіберді. Досы коллекционерге: «Мен сіздің ұсынысыңызды қабылдаймын» деген электрондық хат жіберді. Коллекционердің үш мотоциклі болған: 1985 жылғы, 1987 жылғы және 1992 жылғы. Досы коллекционер сатпақ болған 1985 жылғы модель туралы білмеді.","Коллекционер досының 1987 жылғы модельді сатып алуды көздегенін білмеді. Коллекционер 1985 жылғы модельді саудаға қойған кезде, досы оны қабылдаудан бас тартты. Досы коллекционерге қарсы келісімшартты бұзу туралы сот ісінде жеңіске жетуі мүмкін бе?",Сіз қай шешімді таңдасаңыз?,Осы қысқа әрі күрделі оқиға туралы жалпылама мағлұматта қатысты болды.,0.0,0.0,0.71,0.8,No
 Төмендегілердің қайсысы қатты беттерде пайда болған барлық жаңа (яғни эрозияға ұшырамаған) соққы кратерлерінің ортақ белгісі(лері) болып табылады:, астрономия,['ejecta' 'көтерілген жиектер' 'орталық шыңдар' 'тек A және B'],3,Sheet1, Төмендегілердің қайсысы қатты беттерде пайда болған барлық жаңа (яғни эрозияға,ұшырамаған) соққы кратерлерінің ортақ белгісі(лері) болып табылады:,... әлемдегі естуі.,,0.0,0.0,0.38,0.29,No
 Пісіп келе жатқан фолликулалардан эстрогеннің жоғары деңгейі гонадотропин бөліп шығаратын гормонның (GnRH) бөлінуін тежейді. Төмендегі эндокриндік бездердің қайсысы GnRH өндіреді?, орта мектеп_биологиясы, ['Алдыңғы гипофиз' 'Артқы гипофиз' 'Гипоталамус' 'Эпифей безі'],2,Sheet1, Пісіп келе жатқан фолликулалардан эстрогеннің жоғары деңгейі гонадотропин бөліп шығаратын гормонның (GnRH) бөлінуін тежейді.,Төмендегі эндокриндік бездердің қайсысы GnRH өндіреді?,"Сонымен қатар, осы ережені орындау маңызды.",бұл кезеңдегі ГНРТ бөлінуінің қозғалысқа әкеледі,0.0,0.0,0.56,0.72,No
 Әділетсіздікті жазасыз жасауға тырысуды көрсету үшін Цицерон келесі оқиғаны қарастырады:, философия,['Гигес сақинасы.' 'Икар.' 'Ахиллес пен Агамемнон.' 'Эдип патша.'],0,Sheet1, Әділетсіздікті жазасыз жасауға тырысуды көрсету үшін,Цицерон келесі оқиғаны қарастырады:,әділдік пен адалдық,"Алаңдарға алып, оларға салыстыруға.",0.0,0.0,0.28,0.5,No
" қарашада Бисон Ла-Мирада қаласында орналасқан белгілі бір мүлікті Слоаннан 250 000 долларға сатып алуға келісімшарт жасады. Сату-сату шартында Бисон мен Слоан мүліктің коммерциялық сауда орталығын салу мақсатында пайдаланылатынына келісті. Келісімшарт бойынша Бисон Слоанға 12 500 доллар көлемінде депозит төлеуі керек еді, ал сатып алу бағасының қалған бөлігі бір айдан кейін, 1 желтоқсанда жабылу кезінде төленуі керек еді. 24 қарашада қалалық кеңес мүлікті тек жеке тұрғын үй мақсаттары үшін пайдалануға болатындай етіп қайта аймаққа бөлді. Нәтижесінде, Бисон келісімшартты орындаудан бас тартты. Енді Слоан әділ конверсия доктринасы сатып алушыға шығын әкелетінін айтып, нақты орындау үшін талап арыз берді. Бисон келісімшартты орындау оған қатал және қысымшылық болатынын айтады. Егер шешім Бисонға қатысты болса, бұл, ең алдымен, себебі болады.", кәсіби_құқық,['Слоан тәуекелді өз мойнына алды.' 'Слоан әділетсіз байып кетеді.' 'заңды меншік құқығы Слоанда қалды.' 'әділеттілік Бисонды сәтсіз келісімнен құтқарады.'],1,Sheet1," қарашада Бисон Ла-Мирада қаласында орналасқан белгілі бір мүлікті Слоаннан 250 000 долларға сатып алуға келісімшарт жасады. Сату-сату шартында Бисон мен Слоан мүліктің коммерциялық сауда орталығын салу мақсатында пайдаланылатынына келісті. Келісімшарт бойынша Бисон Слоанға 12 500 доллар көлемінде депозит төлеуі керек еді, ал сатып алу бағасының қалған бөлігі бір айдан кейін, 1 желтоқсанда жабылу кезінде төленуі керек еді. 24 қарашада қалалық кеңес мүлікті тек жеке тұрғын үй мақсаттары үшін пайдалануға болатындай етіп қайта аймаққа бөлді. Нәтижесінде, Бисон келісімшартты орындаудан бас тартты.","Енді Слоан әділ конверсия доктринасы сатып алушыға шығын әкелетінін айтып, нақты орындау үшін талап арыз берді. Бисон келісімшартты орындау оған қатал және қысымшылық болатынын айтады. Егер шешім Бисонға қатысты болса, бұл, ең алдымен, себебі болады.",Бас тартқан негізгі себептері туралы не ақпарат берді?,"Сонымен қатар, қалалық кеңес Бисон келісімшартты орындаудан бас тартқан кезде кездейсоқ қызметтік шешімдерді қолдады.",0.0,0.0,0.71,0.72,No
 «Супер Марио» бейне ойындарындағы Марионың ағасының аты кім?, әртүрлі, ['Луи' 'Луиджи' 'Лучиано' 'Зельда'],1,Sheet1, «Супер Марио» бейне ойындарындағы,Марионың ағасының аты кім?,оқу,««Супер Марио» бейне ойындарындағы **жарнамалардың** **көп** **қатысуы** **мен** **бөлінісе** **келеді.**,0.0,0.0,0.3,0.3,No
" Терри Скиавоның тамақтандыру түтігін алып тастау туралы шешім, осылайша оның сусызданудан өлуіне әкеп соқтырды, келесі жағдайды ескеру қажет:", моральдық_даулар, ['ерікті эвтаназия.' 'дәрігердің көмегімен суицид.' 'пассивті эвтаназия.' 'белсенді эвтаназия.'],2,Sheet1," Терри Скиавоның тамақтандыру түтігін алып тастау туралы шешім, осылайша оның","сусызданудан өлуіне әкеп соқтырды, келесі жағдайды ескеру қажет:",әрекеттерінің,оның өзіне тәуелсіздік енгізу,0.0,0.0,0.45,0.43,No
" Фирма тауар өндіруден қалыпты пайда тапқан кезде, бұл рас", орта мектеп_микроэкономикасы, ['өндірістен түскен жалпы кіріс айқын шығындарға тең.' 'айқын шығындар жасырын шығындарға тең.' 'өндірістен түскен жалпы кіріс жасырын шығындарға тең.' 'өндірістен түскен жалпы кіріс айқын және жасырын шығындардың қосындысына тең.'],3,Sheet1, Фирма тауар өндіруден қалыпты пайда,"тапқан кезде, бұл рас",— бұл,Өндіріс процесіне әсер ету арқылы.,0.0,0.0,0.54,0.67,No
" Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) 2020 жылғы АҚШ-тағы қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Менің үй шаруаларым соншалықты көп, мен баланы үйге алып келу үшін асырап алушылар үйіне барамын. 2-жағдай | Мен ұлымнан сабақтан қалғаны үшін жаза ретінде тамақ алып қойдым.", моральдық_сценарийлер," ['Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес' 'Дұрыс емес, дұрыс емес']",0,Sheet1," Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) 2020 жылғы АҚШ-тағы қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Менің үй шаруаларым соншалықты көп, мен баланы үйге алып келу үшін асырап алушылар үйіне барамын.",2-жағдай | Мен ұлымнан сабақтан қалғаны үшін жаза ретінде тамақ алып қойдым.,2-жағдай | Менің үй шаруаларым сол секілді,"2-жағдай | Менің үш шаруаларым соншалықты көп, мен баланы үйге алып келу үшін асырап алушылар үйіне барамын. Екінші жағдайда менің алаңдағы әлеуметтік қорғаушылардың құрылысын басқару және 2020 жылғы АҚШ-тағы қарапайым моральдық стандарттарға сәйкес еңбек жасаушылардың әділетінің неге жеткілікті түрде болуы керек.",0.67,1.0,0.64,0.75,No
 Кадидің шешімі БҰҰ Қауіпсіздік Кеңесінің қарарларын енгізуге қатысты қандай аспектіні енгізді?, халықаралық құқық," ['Қади шешімі БҰҰ Қауіпсіздік Кеңесінің қарарларын адам құқықтарына сәйкес түсіндіруді талап етті' 'Қади шешімі БҰҰ Қауіпсіздік Кеңесінің барлық қарарларын қосымша заңнаманы қолданбай енгізуді талап етті' 'Қади шешімі БҰҰ Қауіпсіздік Кеңесінің маңызды қарарларын жай ғана енгізу емес, өзгертуді талап етті' 'Қади шешімі БҰҰ Қауіпсіздік Кеңесінің қарарлары адам құқықтарын бұзса, міндетті емес деп мәлімдеді'",0,Sheet1, Кадидің шешімі БҰҰ Қауіпсіздік Кеңесінің қарарларын,енгізуге қатысты қандай аспектіні енгізді?,Бұл екі жағында да дұрыс тұрғанына сенеміз.,Осы шешімдерді қабылдау жүйесіне қатысты толықтырады.,0.0,0.0,0.68,0.4,No
" Тауарға сұраныстың бағалық икемділігі жоғары болады, егер", орта мектеп_микроэкономикасы," [""тұтынушы бюджетіндегі игіліктің үлесі жоғары."" 'бағаның өзгеруіне жауап беру уақыты қысқа."" 'алмастыратын өнімдер саны шектеулі."" 'өнім - қажеттілік.']",0,Sheet1, Тауарға сұраныстың бағалық икемділігі,"жоғары болады, егер",Өзгерістегенде бағаның қалай өзгеретінін қалау керек.,"Бұл ұғымдық анықтамада есептелетін құбылыс түпнұсқа есептеуінің негізгі компоненттеріне сәйкес келеді. Құбылыстың әртүрлі деңгейлерімен тарап-тарап өтуін зерттеудің маңызды себептерінің бірінші жақындық. Егер баға өзгеруінен тыс сұраныс өзгермесе, ал басқа жағдайлар болса, сұранысқа әсер ететін факторлар анықталу керек.",0.0,0.0,0.41,0.66,No
 Кинни ханым студенттердің ғылыми тәжірибелері үшін 4 данадан батарея сатып алды. Осылардың қайсысы ол сатып алған батареялардың жалпы саны болуы мүмкін?, бастауыш_математика, ['22' '26' '28' '30'],2,Sheet1, Кинни ханым студенттердің ғылыми тәжірибелері үшін 4 данадан батарея сатып алды.,Осылардың қайсысы ол сатып алған батареялардың жалпы саны болуы мүмкін?,A,Оның арасында қолданылуын енгіздік.,0.0,0.0,0.6,0.66,No
 _ignoratio elenchi_ қателігі былайша да белгілі, логикалық_қателіктері, ['адамға қарсы дәлел' 'қайырымдылыққа үндеу' 'жалғандықты білмеу' 'сен де' деген қателік],2,Sheet1, _ignoratio elenchi_ қателігі,былайша да белгілі,_____,A fallacy in which the argument fails to address the central issue or premise effectively.,0.0,0.0,0.36,0.74,No
" Натансонның пікірінше, Канттың теңдік және «көзге көз» принципі үшін келесілердің қайсысы мәселе болып табылады?", моральдық_даулар, [‘Ол бізге қылмыстық істердің барлық жағдайлары үшін тиісті жаза қандай болатынын айтпайды.’’ Ол моральдық шөлдің жеткілікті өлшемін бермейді.’’ Ол бізден қылмыскерлерді моральдық тұрғыдан қолайсыз жолдармен жазалауды талап етеді.’’ Жоғарыда айтылғандардың барлығы '],3,Sheet1," Натансонның пікірінше, Канттың теңдік және «көзге көз» принципі",үшін келесілердің қайсысы мәселе болып табылады?,Осылайша қалыптасқан.,"Осылай, нәтиже тек теориялық емес, қоғамдық құжаттар мен практикалық ережелермен толықтай толықтырылады.",0.0,0.0,0.44,0.64,No
" Баронның айтуынша, бомба ісі тек бір ғана азаптау оқиғасына қатысты деп қарастырудың бір мәселесі -", моральдық_даулар," ['азаптаудың бір жағдайын ақтау азаптау тәжірибесін ақтауды талап етеді.' 'азаптаудың тек бір жағдаймен шектелуі іс жүзінде мүмкін емес.' 'А да, В да' 'А да, В да емес']",2,Sheet1," Баронның айтуынша, бомба ісі тек бір ғана азаптау",оқиғасына қатысты деп қарастырудың бір мәселесі -,Дұрыс ма?,"Бірақ бұл тек азаптау емес, басты мәселенің жалғасуы болуы мүмкін.",0.0,0.0,0.55,0.5,No
 Төмендегілердің қайсысы мәселені шешуден жалтарудың басқа атауы болып табылады?, логикалық_қателіктері, [''сен де' қателік' 'маңызды емес қорытынды' 'қорқынышқа үндеу' 'адамға қарсы дәлел'],1,Sheet1, Төмендегілердің қайсысы мәселені шешуден жалтарудың,басқа атауы болып табылады?,бастаған болмайды.,...әлемдегі мәселелерге.,0.0,0.0,0.43,0.48,No
Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) АҚШ-тағы 2020 жылғы жағдай бойынша қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен пиццаның кешігіп қалғанын хабарлау үшін 9-1-1 нөміріне қоңырау шалдым. 2-жағдай | Мен туған күніме арналған костюмімді киіп шіркеуге кірдім., моральдық_сценарийлер," ['Қате, қате' 'Қате, қате емес' 'Қате емес, қате' 'Қате емес, қате емес' 'Қате емес, қате емес']",0,Sheet1,Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) АҚШ-тағы 2020 жылғы жағдай бойынша қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен пиццаның кешігіп қалғанын хабарлау үшін 9-1-1 нөміріне қоңырау шалдым.,2-жағдай | Мен туған күніме арналған костюмімді киіп шіркеуге кірдім.,2-жағдай | Мен үстінен өтетін бірлік жүзге қарағанда алмасуды таңдайды.,"2-жағдай | Мен қажеттілікті өтірікше анықтамаға түрлі түрде түсіріп, 9-1-1 нөміріне хабарлама жіберуге қана қоймай, оның арасындағы сәйкестікті тексеру үшін хабарламаны қолданады. Мен пиццаның кешігіп қалғанын хабарлау үшін 9-1-1 нөміріне хабарлама жіберуге қана қоймай, оның арасындағы сәйкестікті тексеру үшін хабарламаны қолданады. Осылайша, бұл сценарий АҚШ-тағы 2020 жылғы жағдай бойынша моральдық стандарттарға сәйкес дұрыс емес нәрсе жасайды. Сәйкес келгенімен, бұл сценарийде кейіпкер тек 9-1-1 нөміріне хабарлама жібереді.",0.17,1.0,0.59,0.49,No
" Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) 2020 жылғы АҚШ-тағы қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-сценарий | Мен азық-түлік жеткіліксіз екенін білдім, сондықтан кезекте соңғы болуды талап еттім. 2-сценарий | Мен азық-түлікке түскен ақшаны қажетті азық-түлікке жұмсадым.", моральдық_сценарийлер," ['Қате, қате' 'Қате, қате емес' 'Қате емес, қате' 'Қате емес, қате емес' 'Қате емес, қате емес']",3,Sheet1," Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) 2020 жылғы АҚШ-тағы қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-сценарий | Мен азық-түлік жеткіліксіз екенін білдім, сондықтан кезекте соңғы болуды талап еттім.",2-сценарий | Мен азық-түлікке түскен ақшаны қажетті азық-түлікке жұмсадым.,2-сценарий | Мен сол жағдайда,,0.0,1.0,0.84,0.69,No
Төмендегілердің қайсысы әлеуметтік конструктивизмнің негізгі онтологиялық принципін құрамайды?, қауіпсіздікті зерттеу," ['Нормативтік немесе идеялық құрылымдар маңызды және материалдық құрылымдар сияқты, тіпті одан да көп маңызды.' 'Бірегейлік маңызды.' 'Анархия - халықаралық жүйенің сөзсіз ерекшелігі.' 'Агенттер мен құрылымдар өзара құрылған.']",2,Sheet1,Төмендегілердің қайсысы әлеуметтік конструктивизмнің негізгі,онтологиялық принципін құрамайды?,басқа сипаттамада,Әлеуметтік конструктивизмнің негізгі мәнсіздігі оқытудағы қатынасты қарастыратын құндылықтардың бірі болып табылады.,0.0,0.0,0.41,0.5,No
" Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) 2020 жылғы АҚШ-тағы қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен Джиммен жақсы жігіт болмағандықтан, онымен сөйлесудің уақыты келді деп ойладым. 2-жағдай | Мен сыныптағы үй тапсырмасын орындау үшін кітапханада кездестім.", моральдық_сценарийлер," ['Қате, қате' 'Қате, қате емес' 'Қате емес, қате' 'Қате емес, қате емес' 'Қате емес, қате емес']",3,Sheet1," Осы екі сценарийдің қайсысы үшін басты кейіпкер (мен/мен/менің сөздерін қолданатын) 2020 жылғы АҚШ-тағы қарапайым моральдық стандарттарға сәйкес моральдық тұрғыдан дұрыс емес нәрсе жасайды? 1-жағдай | Мен Джиммен жақсы жігіт болмағандықтан, онымен сөйлесудің уақыты келді деп ойладым.",2-жағдай | Мен сыныптағы үй тапсырмасын орындау үшін кітапханада кездестім.,2-жағдай | Мен Джаллих пен міндеттенген тапсырманы атқарамын деп санаймын.,"2-жағдай | Мен Джиммен өмір сүретін жағдайда жақын қарым-қатынасқа ұзақ сабағып, сондықтан оған қажетті болмаса да, арасымыз үндестігі бар еді деп ойладым.",1.0,1.0,0.58,0.72,No
 Жекеменшік өнеркәсіп экономикалық өсімді ынталандыра алады, орта мектеп_макроэкономикасы, ['инновациялық өндіріс әдістерін енгізу.' 'өнімдерді жасанды түрде төмен бағамен ұсыну.' 'қайырымдылыққа айтарлықтай пайда беру.' 'шын мәнінде қажет емес жұмысшыларды жалдау.'],0,Sheet1, Жекеменшік өнеркәсіп экономикалық,өсімді ынталандыра алады,бастамашылыққа,Жекеменшік өнеркәсіп экономикалық өндірістегі дамуына және өнеркәсіптік саланың тиімділігін арттыруға мүмкіндік беретін жетістіктерді тудыратын.,0.0,0.0,0.67,0.42,No
" Төмендегілердің барлығы қаладағы негізгі емес жұмыс орындары болып табылады, БАСҚАСЫ", орта мектеп географиясы, ['қалалық өрт сөндіруші.' 'әлеуметтік қызметкер.' 'химиялық тазалаушы.' 'тігін фабрикасының жұмысшысы.'],3,Sheet1, Төмендегілердің барлығы қаладағы негізгі емес жұмыс,"орындары болып табылады, БАСҚАСЫ","А) Бейімделу  
Б) Жарияланған  
В) Қайтадан жасалған  
Қ) Жоғары",Осы ереже бойынша бұл жұмыстардың толықтай классификациялануына алынған.,0.0,0.0,0.45,0.4,No
 Тіс эмалінің ақаулары мен тісжегінің қаупінің жоғарылауы қандай витаминнің жетіспеушілігімен байланысты?, тамақтану, ['А дәрумені' 'Фолий қышқылы' 'С дәрумені' 'D дәрумені'],3,Sheet1, Тіс эмалінің ақаулары мен тісжегінің қаупінің,жоғарылауы қандай витаминнің жетіспеушілігімен байланысты?,... қажеттілігін,Осы мәселелерді тексерудің маңыздылығын атап өту қажет.,0.0,0.0,0.5,0.33,No
" 2017 жылғы жағдай бойынша, Бразилия халқының қанша бөлігі соңғы үш айда интернетті пайдаланды?", жаһандық_фактілер, ['18%' '38%' '58%' '78%'],2,Sheet1," 2017 жылғы жағдай бойынша, Бразилия халқының қанша",бөлігі соңғы үш айда интернетті пайдаланды?,"2017 жылғы жағдай бойынша, Бразилия халқының қанша есептелген",Бразилия халқының саны 2017 жылы 216 миллион адамнан астам болды.,0.0,0.0,0.37,0.32,No
" Миной экономикасы табиғи апаттарға әсіресе осал болуы мүмкін, себебі ол мыналарға қатты тәуелді болды:", тарихқа дейінгі кезең, ['ауыл шаруашылығы' 'теңіз саудасы' 'металл өңдеу' 'құл еңбегі'],1,Sheet1," Миной экономикасы табиғи апаттарға әсіресе осал болуы мүмкін,",себебі ол мыналарға қатты тәуелді болды:,сол сияқты,Өйткені осы жағдайда қоғамдық қорғаныс әрекетіне қол жеткізудің маңыздылығын ескеруі тиіс.,0.0,0.0,0.7,0.69,No
 Төмендегілердің қайсысы Е витаминінің антиоксиданттық әсерін жақсы түсіндіреді?, тамақтану,['Ол С дәруменімен реакция арқылы белсенді Е дәруменіне дейін тотықсызданатын тұрақты радикал түзеді' 'Ол С дәруменімен реакция арқылы тұрақты радикалға айналады' 'Ол липидтерде еритін және қан тамырлары эпителийімен азот оксидінің түзілуі нәтижесінде пайда болатын қан ағымындағы бос радикалдармен реакцияға түсе алады' 'Ол глутатион және глутатион пероксидазасымен реакция арқылы белсенді Е дәруменіне дейін тотықсызданатын тұрақты радикал түзеді'],0,Sheet1, Төмендегілердің қайсысы Е витаминінің,антиоксиданттық әсерін жақсы түсіндіреді?,Төмендегілердің қайсысы Е витаминінің дұрыс жауап,...бұл реттің қажеттілігінің жоғалуымен.,0.0,0.0,0.26,0.42,No
"Бұл сұрақ келесі ақпаратқа қатысты. Әскер қолбасшысы немесе кез келген кәсіпорын басшысы сияқты, үй иесі де солай. Оның рухы бүкіл мекеме арқылы көрінеді; және ол өз міндеттерін қаншалықты ақылды және мұқият орындаса, үй қызметшілері де оның жолымен жүреді. Әйелдік мінезге тән барлық осы жетістіктердің ішінде, біздің ойымша, үй шаруашылығы міндеттерін білетіндерден жоғары дәрежеге ие ешкім жоқ; өйткені отбасының бақыты, жайлылығы және әл-ауқаты осыларға үнемі байланысты. Изабелла Битон, Үй шаруашылығын басқару кітабы, 1861. Үзіндіден Битонның кітабының тақырыбы болғанын қорытындылауға болады.", орта мектеп_еуропалық_тарихы, ['әскери полктердегі әйелдердің рөлі' 'үй қызметшілеріне арналған мектепті басқару' 'қыздарға арналған мектепті басқару' 'әйелдің өз үй шаруашылығын жүргізудегі рөлі'],3,Sheet1,"Бұл сұрақ келесі ақпаратқа қатысты. Әскер қолбасшысы немесе кез келген кәсіпорын басшысы сияқты, үй иесі де солай. Оның рухы бүкіл мекеме арқылы көрінеді; және ол өз міндеттерін қаншалықты ақылды және мұқият орындаса, үй қызметшілері де оның жолымен жүреді. Әйелдік мінезге тән барлық осы жетістіктердің ішінде, біздің ойымша, үй шаруашылығы міндеттерін білетіндерден жоғары дәрежеге ие ешкім жоқ; өйткені отбасының бақыты, жайлылығы және әл-ауқаты осыларға үнемі байланысты.","Изабелла Битон, Үй шаруашылығын басқару кітабы, 1861. Үзіндіден Битонның кітабының тақырыбы болғанын қорытындылауға болады.",Сұрақтың толық анықтамасын құрау үшін,"Сондықтан, үй шаруашылығындағы басты мәселелерді шеше отырып, осы құбылыстың мағынасын қамтитын нұсқаулық беру керек.",0.0,0.0,0.79,0.79,No
" «Өзара мәжбүрлеу, өзара келісім бойынша» мысал қандай?", моральдық_даулар,[«климаттың өзгеруін шектеу үшін қолданыстағы ынталандыру құрылымын өзгерту үшін ынтымақтасатын барлық елдер». «бүкіл адамзаттың игілігі үшін парниктік газдар шығарындыларын шектеуді онша қуатты емес елдерден талап ету туралы қуатты елдердің келісімі». «онша қуатты емес елдердің онша қуатты емес елдермен сауданы соңғылары парниктік газдар шығарындыларын шектеуге келіскенге дейін бойкоттау туралы келісімі». «жеке агенттердің көпшілігінің өздерінің ластануын шектеуге келісімі».,0,Sheet1," «Өзара мәжбүрлеу, өзара келісім",бойынша» мысал қандай?,,"Бұл ұғымдардың бір-бірімен қарым-қатынас жасағандары әлеуметтік және экономикалық тиімділікті арттырады. Сондықтан, өзара сенімді және тәрбиелік қадамдарды жүзеге асыру арқылы мемлекеттік деңгейдегі қақтығыстардың кедергілерін азайтуға болады.",0.0,0.0,0.48,0.49,No
