id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
467,business_ethics,Бизнес,"Постмодернистская этика утверждает, что этические нормы зависят от контекста и индивидуальных особенностей человека и, как таковые, имеют внутреннее руководство по этике.","2,3","1,3","1,2,3","1,2",B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Постмодернистская этика утверждает, что этические нормы зависят от контекста и индивидуальных особенностей","человека и, как таковые, имеют внутреннее руководство по этике.",Выберите верный ответ,Полученный вывод подразумевает необходимость признания отсутствия абсолютистских и универсальных стандартов в общении между людьми.,0.0,0.0,0.67,0.68,No
13690,virology,Медицина,Сколько людей в мире в настоящее время инфицированы гепатитом B?,350 миллионов,2 миллиарда,100000,1 миллион,A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,Сколько людей в мире в настоящее,время инфицированы гепатитом B?,время,в настоящее время,0.0,0.0,0.26,0.31,No
1463,computer_security,Информационные технологии,Что из перечисленного ниже является трояном удалённого доступа?,Troya,DaCryptic,BankerA,Game-Troj,A,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Что из перечисленного ниже является,трояном удалённого доступа?,— правильный вариант ответа,"Определить нужно тот вариант, который не противоречит заданным условиям и содержит требуемую информацию.",0.0,0.0,0.28,0.35,No
523,clinical_knowledge,Медицина,"В таких играх, как футбол, концентрация лактата в крови:",редко увеличивается выше 3 мМ.,"обычно ниже в конце игры, чем в конце первого тайма.","обычно выше в конце игры, чем в конце первого тайма.",увеличивается на протяжении всей игры по мере усталости игроков.,B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"В таких играх, как футбол,",концентрация лактата в крови:,**где проводятся официальные соревнования**,"В таких играх, как футбол, каждый игрок несет ответственность за сохранение здоровья и честное развитие навыков в коллективе.",0.0,0.0,0.25,0.29,No
5688,high_school_us_history,История,"Этот вопрос относится к следующей информации.
""Принимая во внимание, что законы и договоры Соединенных Штатов, не препятствуя свободному выражению мнений и симпатий или коммерческому производству или продаже оружия или боеприпасов для ведения войны, тем не менее, налагают на всех лиц, которые могут находиться на их территории и под их юрисдикцией, обязанность соблюдать беспристрастный нейтралитет во время существования противоборства; И поскольку долг нейтрального правительства не допускать и не терпеть, чтобы его воды использовались в целях войны;
""Итак, теперь я, Вудро Вильсон, президент Соединенных Штатов Америки, чтобы сохранить нейтралитет Соединенных Штатов…настоящим заявляю и провозглашаю....
""Что статуты и договоры Соединенных Штатов и закон наций в равной степени требуют, чтобы ни одно лицо на территории и под юрисдикцией Соединенных Штатов не принимало участия, прямо или косвенно, в указанных войнах, но оставалось в мире со всеми указанными воюющими сторонами и поддерживало строгий и беспристрастный нейтралитет....""
Вудро Вильсон, 1914
Какое из следующих утверждений о Версальском договоре верно?","Сенат Соединенных Штатов отклонил его, потому что он относился к Германии слишком снисходительно.","Сенат Соединенных Штатов отклонил его, поскольку он требовал более активного участия Америки в европейских делах.","Сенат Соединенных Штатов одобрил его с оговорками, касающимися раздела Восточной Европы.",Сенат Соединенных Штатов так и не проголосовал по этому вопросу.,B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,Этот вопрос относится к следующей информации.,"""Принимая во внимание, что законы и договоры Соединенных Штатов, не препятствуя свободному выражению мнений и симпатий или коммерческому производству или продаже оружия или боеприпасов для ведения войны, тем не менее, налагают на всех лиц, которые могут находиться на их территории и под их юрисдикцией, обязанность соблюдать беспристрастный нейтралитет во время существования противоборства; И поскольку долг нейтрального правительства не допускать и не терпеть, чтобы его воды использовались в целях войны;
""Итак, теперь я, Вудро Вильсон, президент Соединенных Штатов Америки, чтобы сохранить нейтралитет Соединенных Штатов…настоящим заявляю и провозглашаю....
""Что статуты и договоры Соединенных Штатов и закон наций в равной степени требуют, чтобы ни одно лицо на территории и под юрисдикцией Соединенных Штатов не принимало участия, прямо или косвенно, в указанных войнах, но оставалось в мире со всеми указанными воюющими сторонами и поддерживало строгий и беспристрастный нейтралитет....""
Вудро Вильсон, 1914
Какое из следующих утверждений о Версальском договоре верно?",Выберите правильный вариант ответа.,"В данном вопросе требуется определить контекст, который должен быть предоставлен после фразы «относится к следующей информации».",0.0,0.0,0.44,0.43,No
11946,professional_law,Право,"Офицер дорожного патруля остановил водителя за превышение скорости и обнаружил, что у того были недействительные водительские права. Он разрешил ее мужу отвезти машину домой, но арестовал ее за вождение без прав. Усадив ее в патрульную машину, он провел обыск ее автомобиля. Офицер обнаружил пакетик с кокаином в куртке на молнии на заднем сиденье. Он арестовал ее за хранение и хранение с целью распространения запрещённых веществ. До суда водитель подал ходатайство об изъятии кокаина. Вероятно ли, что суд первой инстанции удовлетворит ходатайство о конфискации?","Да, кокаин должен быть конфискован, поскольку она находилась в патрульной машине и полиция не могла рассчитывать найти в машине улики, относящиеся к текущему аресту.","Нет, ходатайство будет отклонено, потому что не существует ожидания неприкосновенности частной жизни в отношении имущества, находящегося в автомобиле.","Нет, ходатайство будет отклонено, потому что это был действительный обыск при аресте.","Да, ходатайство будет удовлетворено, поскольку для обыска транспортного средства требуется ордер на обыск, за исключением исключительных чрезвычайных обстоятельств.",A,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Офицер дорожного патруля остановил водителя за превышение скорости и обнаружил, что у того были недействительные водительские права. Он разрешил ее мужу отвезти машину домой, но арестовал ее за вождение без прав. Усадив ее в патрульную машину, он провел обыск ее автомобиля. Офицер обнаружил пакетик с кокаином в куртке на молнии на заднем сиденье.","Он арестовал ее за хранение и хранение с целью распространения запрещённых веществ. До суда водитель подал ходатайство об изъятии кокаина. Вероятно ли, что суд первой инстанции удовлетворит ходатайство о конфискации?",Анализ показал наличие вещества,"Он направил её в полицию, чтобы провести дополнительные проверки документов, и получил заключение о наличии запрещённых веществ.",0.0,0.0,0.69,0.63,No
6398,human_sexuality,Общество,Сутенера лучше всего можно описать как,...мужчину-компаньона-хозяина проститутки,"...жиголо, который работает с проститутками",...опытного мужчину-проститутку,...сопровождающего женщину-проститутку,A,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,Сутенера лучше всего можно,описать как,... в медицине,Сутенера лучше всего можно сделать,0.0,0.0,0.45,0.52,No
6032,high_school_world_history,История,"Этот вопрос относится к следующей информации.
Вопросы к приведенному ниже отрывку, рассказу, данному французскому офицеру в Алжире в 1830-х годах членом арабского каравана работорговцев.
Работорговля
Все вы [солдаты], призваны... охотиться на идолопоклонников кохоланов [уничижительное слово для обозначения ""черных африканцев""]. . . . Солдаты разделились на две роты... с приказом атаковать места без обороны и уносить жителей, а также захватывать всех крестьян занятых обработкой своих полей.. . . В ожидании возвращения отрядов, отправленных охотиться на негров, мы каждый день ходили на рынок рабов, где покупали их по следующим ценам:
Негр с бородой..................10 или 15 000 каури.
Они не рассматриваются как товар, поскольку мало шансов предотвратить их побег.
Взрослая негритянка....................10 или 15 000 каури по тем же причинам
Негр-подросток......................30,000 каури
Молодая негритянка ........................50-60,000 каури
Цена варьируется в зависимости от того, насколько она красива.
Негритянский ребенок мужского пола..........................45,000 каури
Негритянский ребенок женского пола ............................35-40,000 каури
Наконец, наш караван, который отправился из Алжира с шестьюдесятью четырьмя верблюдами и всего шестнадцатью людьми, теперь пополнился четырьмя сотнями рабов, из которых триста были женщинами. . .. Именно в этот момент внезапно от одной группы рабов к другой перешел нестройный шум плача и рыданий и достиг нашей. . . . Некоторые катались по земле, цеплялись за кусты и категорически отказывались идти. ...Их можно было поднять только мощными ударами кнута и полностью окровавив их.
Какой вывод подтверждается этим отрывком?",Африканцы пассивно приняли свой захват и последующее порабощение.,Североафриканцы в основном попадали в плен и порабощались соперничающими африканскими племенами.,"Демографические изменения, произошедшие в результате рабства, привели к тому, что в североафриканских племенах мужчин было больше, чем женщин.",Взрослые рабы-мужчины ценились наиболее высоко из-за их физической силы.,C,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Этот вопрос относится к следующей информации. Вопросы к приведенному ниже отрывку, рассказу, данному французскому офицеру в Алжире в 1830-х годах членом арабского каравана работорговцев. Работорговля
Все вы [солдаты], призваны... охотиться на идолопоклонников кохоланов [уничижительное слово для обозначения ""черных африканцев""]. . . . Солдаты разделились на две роты... с приказом атаковать места без обороны и уносить жителей, а также захватывать всех крестьян занятых обработкой своих полей.. . . В ожидании возвращения отрядов, отправленных охотиться на негров, мы каждый день ходили на рынок рабов, где покупали их по следующим ценам:
Негр с бородой..................10 или 15 000 каури. Они не рассматриваются как товар, поскольку мало шансов предотвратить их побег. Взрослая негритянка....................10 или 15 000 каури по тем же причинам
Негр-подросток......................30,000 каури
Молодая негритянка ........................50-60,000 каури
Цена варьируется в зависимости от того, насколько она красива. Негритянский ребенок мужского пола..........................45,000 каури
Негритянский ребенок женского пола ............................35-40,000 каури
Наконец, наш караван, который отправился из Алжира с шестьюдесятью четырьмя верблюдами и всего шестнадцатью людьми, теперь пополнился четырьмя сотнями рабов, из которых триста были женщинами.",". .. Именно в этот момент внезапно от одной группы рабов к другой перешел нестройный шум плача и рыданий и достиг нашей. . . . Некоторые катались по земле, цеплялись за кусты и категорически отказывались идти. ...Их можно было поднять только мощными ударами кнута и полностью окровавив их. Какой вывод подтверждается этим отрывком?",Какие были цены для рабов?,"Остальным лицам в группе, включая мальчиков и девочек, было предоставлено образование, чтобы их можно было использовать в будущем, когда они перемещались по маршрутам торговли.",0.0,0.0,0.87,0.87,No
8661,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я воткнул нож в его черное сердце. Сценарий 2 | Я отобрал игры у своего сына в наказание за прогул школы.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я воткнул нож в его черное сердце.",Сценарий 2 | Я отобрал игры у своего сына в наказание за прогул школы.,Сценарий 2 | Он убил друга.,"Сценарий 2 | Я пошел на убийство другого человека, зная, что это нарушает закон и мораль",1.0,1.0,0.73,0.72,No
12272,professional_medicine,Медицина,"У 7-месячного младенца, который недавно был выписан из больницы после приступа энтерита и обезвоживания, постоянная водянистая диарея. Мать кормит его смесью на основе коровьего молока и различными протертыми фруктами и овощами. При медицинском осмотре его температура составляет 37,4° C (99,3°F), слизистые оболочки сухие, а живот слегка вздут. Никаких других отклонений не наблюдается. Проблема, скорее всего, связана с чем из перечисленного?",Непереносимость фруктозы,Транзиторная лактазная недостаточность,Дефицит магния,Регионарный энтерит,B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"У 7-месячного младенца, который недавно был выписан из больницы после приступа энтерита и обезвоживания, постоянная водянистая диарея. Мать кормит его смесью на основе коровьего молока и различными протертыми фруктами и овощами. При медицинском осмотре его температура составляет 37,4° C (99,3°F), слизистые оболочки сухие, а живот слегка вздут.","Никаких других отклонений не наблюдается. Проблема, скорее всего, связана с чем из перечисленного?",Какой диагноз,"На основании приведенных данных и анамнеза наиболее вероятной причиной постоянного водянистого диареи является аллергия на белки коровьего молока или непереносимость лактозы, что подтверждается сочетанием длительных симптомов после выписки из стационара и специфического типа вскармливания. Дальнейшее лечение будет направлено на исключение коровьего молока из рациона и применение специальной гипоаллергенной смеси для восстановления водно-солевого баланса.",0.0,0.0,0.75,0.73,No
2012,electrical_engineering,Информационные технологии,"Наименьшая критическая частота равна нулю и может присутствовать в начале координат или ближе к началу координат, тогда тип сети -",LC-схема.,RC-схема.,RLC-схема.,RL-схема.,D,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Наименьшая критическая частота равна нулю и может присутствовать в начале координат или,"ближе к началу координат, тогда тип сети -",либо в других точках,и может присутствовать в конце координат,0.0,0.0,0.48,0.51,No
10676,professional_law,Право,"Чтобы держать под контролем расходы на государственные школы в период роста расходов, штат принял закон, предусматривающий, что дети, которые не прожили в штате по крайней мере один год, не могут посещать государственные школы штата. Какое из следующих утверждений об этом законе является наиболее точным с точки зрения конституционного права?","Требование о проживании в течение одного года действительно, поскольку оно не затрагивает никаких основных прав или категории подозреваемых.","Требования к продолжительности пребывания в штате, установленные для услуг, финансируемых государством, являются конституционными, поскольку они относятся к правительственным операциям, предусмотренным Десятой поправкой исключительно для штатов.","Поскольку финансируемое государством образование является основополагающим конституционным правом, государство не может отказать в нем какому-либо классу лиц, проживающих в этом государстве.","Требования к продолжительности пребывания в штате, установленные для такого рода услуг, финансируемых государством, исключительно с целью сокращения государственных расходов, нарушают положение о равной защите Четырнадцатой поправки.",D,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Чтобы держать под контролем расходы на государственные школы в период роста расходов, штат принял закон, предусматривающий, что дети, которые не прожили в штате по крайней мере один год, не могут посещать государственные школы штата.",Какое из следующих утверждений об этом законе является наиболее точным с точки зрения конституционного права?,Вопрос имеет следующий текст вопроса,"Следовательно, принятые меры помогут снизить общую нагрузку бюджета региональной системы образования за счёт исключения учащихся, которые живут в других штатах, а значит, сохранится финансовая устойчивость всех школ страны.",0.0,0.0,0.67,0.62,No
12988,professional_psychology,Общество,Этическое поведение в практике отдельных психологов регулируется,по усмотрению индивидуальных терапевтов,национальными законами,профессиональными кодексами и законами штатов и провинций,аккредитационными агентствами,C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,Этическое поведение в практике,отдельных психологов регулируется,каким образом это связано с правилами безопасности,"Важно отметить, что эти принципы должны применяться в каждой конкретной ситуации с учетом контекста.",0.0,0.0,0.38,0.33,No
6930,management,Бизнес,Какой писатель больше всего связан с бюрократическими структурами?,Анри Файоль,Макс Вебер,Адам Смит,Мэри Паркер Фоллетт,B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,Какой писатель больше всего связан,с бюрократическими структурами?,с реализмом,Александр Сергеевич Пушкин,0.0,0.0,0.3,0.39,No
9771,philosophy,Философия,"Бентам утверждает, что действия являются правильными или неправильными в силу:","мотивов, стоящих за ними.",их последствий.,"как [A], так и [B].","ни [A], ни [B].",B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Бентам утверждает, что действия являются правильными",или неправильными в силу:,Ответ:,"Согласно этому утверждению, каждый акт должен быть проверен через призму его способности приносить наибольшую пользу обществу и минимизировать вредные последствия.",0.0,0.0,0.54,0.63,No
6470,international_law,Право,"Являются ли императивные нормы международного права единственными нормами, устанавливающими обязательства erga omnes?",Да,"Нет, акты международных организаций также устанавливают такие обязательства","Нет, решения международных судов также устанавливают такие обязательства","Нет, даже несмотря на то, что все императивные нормы устанавливают обязательства erga omnes, последние могут также вытекать из договоров, регулирующих объективные режимы, или односторонних актов",D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,Являются ли императивные нормы международного права единственными,"нормами, устанавливающими обязательства erga omnes?",правильно,"только в том случае, если они не существуют в качестве источника права самостоятельно",0.0,0.0,0.52,0.36,No
3075,high_school_chemistry,Биология,"Раствор готовят путем растворения 30,0 граммов Ni(NO3)2 в количестве воды, достаточном для получения 250 мл раствора. Какова молярность этого раствора?","0,496 моляра","0,656 моль/л","3,3 моль","6,3 × 10^-3 моль",B,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"Раствор готовят путем растворения 30,0 граммов Ni(NO3)2 в количестве воды, достаточном для получения 250 мл раствора.",Какова молярность этого раствора?,Найдите концентрацию полученного раствора.,Требуется вычислить молярную концентрацию полученного раствора.,0.0,0.0,0.84,0.86,No
4455,high_school_mathematics,Математика,"Фигуристка обращена к северу, когда начинает вращаться вправо. Она вращается на 2250 градусов. В каком направлении (север, юг, восток или запад) она обращена, когда заканчивается ее вращение?",север,восток,юг,запад,B,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"Фигуристка обращена к северу, когда начинает вращаться вправо. Она вращается на 2250 градусов.","В каком направлении (север, юг, восток или запад) она обращена, когда заканчивается ее вращение?",Сколько полных оборотов совершила фигуристка после начала вращения,В итоге фигуристка обращена на восток.,0.0,0.0,0.61,0.63,No
459,business_ethics,Бизнес,"Есть две основные проблемы, связанные с _____ . _______ является ключевым вопросом, поскольку в соответствии с информационной политикой корпорации можно утверждать, что сотрудники имеют право знать, увольняются ли они. _______ - это вторая проблема, в частности, пакет _______, который сотрудники получают при увольнении.","Сокращение, Вовлеченность, Вознаграждение, Компенсация","Повышение, Вовлеченность, Автономия, Компенсация","Сокращение, Автономия, Вознаграждение, Выгода","Повышение, Независимость, Вовлеченность, Выгода",A,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Есть две основные проблемы, связанные с _____ . _______ является ключевым вопросом, поскольку в соответствии с информационной политикой корпорации можно утверждать, что сотрудники имеют право знать, увольняются ли они.","_______ - это вторая проблема, в частности, пакет _______, который сотрудники получают при увольнении.",Отношение сотрудников к вопросам конфиденциальности,"Вторым важным аспектом является защита персональных данных сотрудника, что требует баланса между прозрачностью для коллектива и охраной коммерческой тайны.",0.0,0.0,0.66,0.69,No
8596,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") делает что-то явно морально неправильное, согласно обычным моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я позвонил в полицию, потому что учительница опоздала. Сценарий 2 | Я взял чековую книжку своего клиента и пошел за покупками.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",A,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") делает что-то явно морально неправильное, согласно обычным моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я позвонил в полицию, потому что учительница опоздала.",Сценарий 2 | Я взял чековую книжку своего клиента и пошел за покупками.,"Сценарий 2 | Я заметила, что она сделала то же самое.","Сценарий 2 | Я поймал конкурента на приеме у стоматолога, чтобы сделать снимки, и заставил его пойти на операцию в одиночестве.",1.0,1.0,0.68,0.73,No
11918,professional_law,Право,"Крупный мужчина с угрожающими татуировками по всему лицу и лысой головой внимательно следил за бизнесменом, который заблудился в длинном темном переулке. Крупный мужчина следовал за бизнесменом несколько кварталов по бесконечным неосвещенным переулкам. Бизнесмен был в большом страхе. Крупный мужчина шел всего в нескольких футах позади, распевая песни о том, как он собирается ""плотно поужинать сегодня вечером"", и, похоже, он ""разбогател"", и другие слова, указывающие на возможное насилие и грабеж. Наконец, бизнесмен швырнул свой бумажник в одну сторону и побежал в другую, крича: ""Вы можете забрать мои деньги, просто оставьте мне мою жизнь!"" Крупный мужчина подобрал бумажник и побежал в противоположном направлении, но когда он дошел до конца переулка, его арестовали и обвинили в ограблении. Он обжаловал свой обвинительный приговор, утверждая, что у него не было намерения красть и он пытался вернуть бумажник жертве. Скорее всего, апелляционный суд подтвердит обвинительный приговор по делу об ограблении?","Нет, песни большого человека могли быть случайными или бездумными, он не угрожал, а позже, возможно, пытался вернуть бумажник.","Да, потому что крупный мужчина слишком долго следовал за ним по пятам, он пел угрожающие песни, которые повергли бизнесмена в страх, а затем он взял бумажник и побежал в другом направлении.","Да, потому что никогда ни по какой причине не следует поднимать чужой кошелек, лежащий на земле.","Нет, потому что кошелька не было в непосредственном присутствии жертвы, когда крупный мужчина поднял его.",B,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"Крупный мужчина с угрожающими татуировками по всему лицу и лысой головой внимательно следил за бизнесменом, который заблудился в длинном темном переулке. Крупный мужчина следовал за бизнесменом несколько кварталов по бесконечным неосвещенным переулкам. Бизнесмен был в большом страхе. Крупный мужчина шел всего в нескольких футах позади, распевая песни о том, как он собирается ""плотно поужинать сегодня вечером"", и, похоже, он ""разбогател"", и другие слова, указывающие на возможное насилие и грабеж. Наконец, бизнесмен швырнул свой бумажник в одну сторону и побежал в другую, крича: ""Вы можете забрать мои деньги, просто оставьте мне мою жизнь!""","Крупный мужчина подобрал бумажник и побежал в противоположном направлении, но когда он дошел до конца переулка, его арестовали и обвинили в ограблении. Он обжаловал свой обвинительный приговор, утверждая, что у него не было намерения красть и он пытался вернуть бумажник жертве. Скорее всего, апелляционный суд подтвердит обвинительный приговор по делу об ограблении?",Правильный ответ: A,"Крупный мужчина подошел ближе к нему, чтобы услышать крик ещё раз. Он спросил: ""Твоя жизнь стоит дороже, чем твои деньги"", и затем снова стал двигаться дальше по дороге. В то время как бизнесмен бежал по переулкам, он пытался убежать назад, но огромный человек был уже у него в руках, готовый увести его в темноту.",0.0,0.0,0.73,0.76,No
