subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
public_relations,There are three basic types of persuasive advertising campaigns. Which of the following is NOT one of them?,Product-oriented,Person-oriented,Idea-oriented,Result-oriented,3,D,test,There are three basic types of persuasive advertising campaigns.,Which of the following is NOT one of them?,"They are: (1) the rational appeal, (2) the emotional appeal, and (3) the moral appeal.","They are the rational appeal, which focuses on logic and facts to convince the consumer; the emotional appeal, which targets feelings and desires to create a connection; and the ethical appeal, which relies on shared values and moral principles to persuade the audience.",0.08,0.08,0.58,0.6
machine_learning,"Traditionally, when we have a real-valued input attribute during decision-tree learning we consider a binary split according to whether the attribute is above or below some threshold. Pat suggests that instead we should just have a multiway split with one branch for each of the distinct values of the attribute. From the list below choose the single biggest problem with Pat’s suggestion:",It is too computationally expensive.,It would probably result in a decision tree that scores badly on the training set and a testset.,It would probably result in a decision tree that scores well on the training set but badly on a testset.,It would probably result in a decision tree that scores well on a testset but badly on a training set.,2,C,dev,"Traditionally, when we have a real-valued input attribute during decision-tree learning we consider a binary split according to whether the attribute is above or below some threshold. Pat suggests that instead we should just have a multiway split with one branch for each of the distinct values of the attribute.",From the list below choose the single biggest problem with Pat’s suggestion:,Pat's suggestion is known as a multiway split. Which of the following statements about multiway splits is true? (A) Multiway splits are always better than binary splits. (B) Multiway splits can lead to overfitting if the number of distinct values is large. (C) Multiway splits are only applicable to categorical attributes. (D) Multiway splits reduce the depth of the decision tree. (E) Multiway splits are computationally more expensive than binary splits.,"This approach, known as the **Patience** algorithm (or sometimes associated with the **Pat** heuristic in specific contexts like the C4.5 algorithm's handling of discrete attributes), treats the attribute as categorical rather than continuous. By creating a separate branch for every distinct value, the algorithm avoids the need to search for an optimal threshold, which can be computationally expensive and sensitive to the distribution of data. Instead, it simply evaluates the information gain (or gain ratio) for each unique value as a potential split point, effectively partitioning the data into as many subsets as there are unique attribute values. This method is particularly useful when the attribute has a small number of distinct values, ensuring that the decision tree captures the specific behavior associated with each value without making assumptions about the ordering or continuity of the data.",0.05,0.07,0.56,0.64
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I consider friendly fire to be a serious hobby. Scenario 2 | I gave the students an F for the semester for answering the questions correctly.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",0,A,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I consider friendly fire to be a serious hobby.",Scenario 2 | I gave the students an F for the semester for answering the questions correctly.,Scenario 2 | I consider it morally wrong to kill a person who is not a combatant.,Scenario 2 | I intentionally shoot a civilian who is surrendering.,0.23,0.19,0.61,0.66
philosophy,"The systematic use of critical reasoning to try to find answers to fundamental questions about reality, morality, and knowledge is called _____.",the argumentative method,the philosophical method,propositional logic,syllogistic reasoning,1,B,test,The systematic use of critical reasoning to try to find answers to fundamental,"questions about reality, morality, and knowledge is called _____.",questions about the nature of the world is called philosophy.,questions about the nature of the world and our place in it is known as philosophy.,0.33,0.44,0.68,0.68
college_computer_science,Hash tables can contribute to an efficient average-case solution for all of the problems described below EXCEPT:,"Counting distinct values: Given a set of n keys, determine the number of distinct key values.","Dynamic dictionary: Support the operations of insert, delete, and search in a dictionary.","Range search: Given values a and b, find all the records whose key value is in the range a, b.","Symbol table lookup: Given a program identifier, find its type and address.",2,C,test,Hash tables can contribute to an efficient average-case solution for,all of the problems described below EXCEPT:,searching.,"searching, inserting, and deleting elements in a data structure, typically achieving an average time complexity of O(1).",0.08,0.0,0.54,0.51
high_school_computer_science,"A sorted list of 120 integers is to be searched to determine whether the value 100 is in the list. Assuming that the most efficient searching algorithm is used, what is the maximum number of elements that must be examined?",7,8,20,100,0,A,test,A sorted list of 120 integers is to be searched to determine whether the value 100 is in the list.,"Assuming that the most efficient searching algorithm is used, what is the maximum number of elements that must be examined?","The most efficient algorithm to use for this purpose is binary search, which would require at most ⌈log₂(120)⌉ = 7 comparisons in the worst case.","Since the list is already sorted, the most efficient approach is to use **binary search**. This algorithm repeatedly divides the search interval in half: it compares the target value (100) with the middle element of the current range. If they are not equal, the half in which the target cannot lie is eliminated, and the process continues on the remaining half. This continues until the value 100 is found or the search space is exhausted. In the worst case, this method requires only $\log_2(120) \approx 7$ comparisons, making it significantly faster than a linear search which could require up to 120 checks.",0.11,0.27,0.5,0.63
human_aging,The majority of older widows live,Alone,With children,With a friend,In an institution,0,A,test,The majority of older,widows live,adults in the United States are overweight or obese.,"The majority of older adults prefer to remain in their own homes as they age, utilizing community resources and family support to maintain independence and quality of life.",0.0,0.0,0.38,0.28
virology,What is the most common way for a virus to kill a cell?,Dissolves the cellular membrane,Induces apoptosis via caspases,Fragments cellular DNA,Totally blocks cellular transcription,1,B,test,What is the most common way for a,virus to kill a cell?,person to get a cold?,person to get a tattoo?,0.4,0.4,0.4,0.49
high_school_mathematics,Find the length of the curve y = ln x between the points where y = 1/2 and y = 1.,0.53,0.86,1.18,1.36,2,C,test,Find the length of the curve y = ln x between the,points where y = 1/2 and y = 1.,points x = 1 and x = e.,"points $x = 1$ and $x = e$.

To find the arc length $L$ of the curve $y = \ln x$ from $x = 1$ to $x = e$, we use the arc length formula:
$$ L = \int_{a}^{b} \sqrt{1 + \left(\frac{dy}{dx}\right)^2} \, dx $$

First, determine the derivative of the function:
$$ \frac{dy}{dx} = \frac{d}{dx}(\ln x) = \frac{1}{x} $$

Substitute this into the formula:
$$ L = \int_{1}^{e} \sqrt{1 + \left(\frac{1}{x}\right)^2} \, dx = \int_{1}^{e} \sqrt{1 + \frac{1}{x^2}} \, dx $$

Simplify the integrand by finding a common denominator:
$$ \sqrt{1 + \frac{1}{x^2}} = \sqrt{\frac{x^2 + 1}{x^2}} = \frac{\sqrt{x^2 + 1}}{x} $$
(Note: Since $x \in [1, e]$, $x$ is positive, so $\sqrt{x^2} = x$).

Now, evaluate the integral:
$$ L = \int_{1}^{e} \frac{\sqrt{x^2 + 1}}{x} \, dx $$

We can solve this using trigonometric substitution. Let $x = \tan \theta$, then $dx = \sec^2 \theta \, d\theta$.
The limits change as follows:
- When $x = 1$, $\tan \theta = 1 \implies \theta = \frac{\pi}{4}$.
- When $x = e$, $\tan \theta = e \implies \theta = \arctan(e)$.

Substituting these into the integral:
$$ L = \int_{\pi/4}^{\arctan(e)} \frac{\sqrt{\tan^2 \theta + 1}}{\tan \theta} \cdot \sec^2 \theta \, d\theta $$
Since $\tan^2 \theta + 1 = \sec^2 \",0.04,0.43,0.47,0.68
professional_psychology,Down Syndrome is caused by:,a dominant gene.,two recessive genes.,a chromosomal abnormality.,an X-linked gene.,2,C,test,Down Syndrome is,caused by:,a genetic disorder caused by the presence of all or part of a third copy of chromosome 21.,"a genetic condition caused by the presence of an extra copy of chromosome 21, resulting in three copies instead of the usual two. This additional genetic material alters the course of development and causes the characteristics associated with Down syndrome, which can include intellectual disability, distinct physical features, and an increased risk of certain health issues.",0.07,0.2,0.51,0.58
high_school_macroeconomics,National income measures,household income in the nation.,income earned by the factors of production.,GDP minus depreciation and indirect business taxes.,(B) (C) and (D).,3,D,test,National income,measures,is the total value of goods and services produced by a country in a given period.,"is the total value of all goods and services produced by a country in a given period, serving as a key indicator of economic health and standard of living.",0.0,0.0,0.38,0.42
high_school_government_and_politics,"In which of the following cases did the Supreme Court decision establish the ""separate but equal"" doctrine of state-sponsored racial segregation?",Plessy v. Ferguson,McCulloch v. Maryland,Gibbons v. Ogden,Brown v. Board of Education,0,A,test,In which of the following cases did the Supreme Court decision establish,"the ""separate but equal"" doctrine of state-sponsored racial segregation?", a new precedent for the interpretation of the Constitution?,a new legal precedent or rule?,0.0,0.21,0.51,0.5
electrical_engineering,What is the name of the fluorescent material that gives red colour fluorescence?,Zinc silicate.,Calcium silicate.,Zinc sulphide.,Magnesium silicate.,3,D,test,What is the name of the fluorescent material,that gives red colour fluorescence?,used in fluorescent lamps?,used in highlighters and safety vests?,0.0,0.0,0.48,0.63
high_school_physics,"In the laboratory, a cart experiences a single horizontal force as it moves horizontally in a straight line. Of the following data collected about this experiment, which is sufficient to determine the work done on the cart by the horizontal force?","The magnitude of the force, the cart’s initial speed, and the cart’s final speed",The mass of the cart and the distance the cart moved,"The mass of the cart, the cart’s initial speed, and the cart’s final speed",The mass of the cart and the magnitude of the force,2,C,validation,"In the laboratory, a cart experiences a single horizontal force as it moves horizontally in a straight line.","Of the following data collected about this experiment, which is sufficient to determine the work done on the cart by the horizontal force?",The cart's speed increases at a constant rate. Which of the following statements is true? (A) The force is increasing in magnitude. (B) The force is decreasing in magnitude. (C) The force is constant in magnitude. (D) The force is zero.,"If the cart moves at a constant velocity, the net force acting on it is zero, implying that a frictional force equal in magnitude and opposite in direction to the applied force must also be present.",0.17,0.25,0.52,0.57
high_school_chemistry,NH4+(aq) + NO2- (aq) → N2(g) + 2H2O(l) Increasing the temperature of the above reaction will increase the rate of reaction. Which of the following is NOT a reason that increased temperature increases reaction rate?,The reactants will be more likely to overcome the activation energy.,The number of collisions between reactant molecules will increase.,A greater distribution of reactant molecules will have high velocities.,Alternate reaction pathways become available at higher temperatures.,3,D,test,NH4+(aq) + NO2- (aq) → N2(g) + 2H2O(l) Increasing the temperature of the above reaction will increase the rate of reaction.,Which of the following is NOT a reason that increased temperature increases reaction rate?, This is because the reaction is endothermic.,"This is because the reaction is endothermic; adding heat provides the necessary activation energy to overcome the energy barrier, thereby increasing the frequency and energy of molecular collisions.",0.1,0.19,0.64,0.68
conceptual_physics,A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,0,A,test,A step-up transformer in an electrical,circuit can step up,step-up transformer in an electrical circuit is used to:,"A step-up transformer in an electrical circuit is designed to increase the voltage level of an alternating current (AC) signal while proportionally decreasing the current. This is achieved through a coil configuration where the secondary winding has more turns than the primary winding, adhering to the principle of electromagnetic induction. Such transformers are essential in power distribution systems for efficiently transmitting electricity over long distances by reducing energy loss due to resistance.",0.05,0.29,0.41,0.55
high_school_us_history,"This question refers to the following information.
All this while the Indians came skulking about them, and would sometimes show themselves aloof off, but when any approached near them, they would run away; and once they stole away their tools where they had been at work and were gone to dinner. But about the 16th of March, a certain Indian came boldly amongst them and spoke to them in broken English, which they could well understand but marveled at it. At length they understood by discourse with him, that he was not of these parts, but belonged to the eastern parts where some English ships came to fish, with whom he was acquainted and could name sundry of them by their names, amongst whom he had got his language. He became profitable to them in acquainting them with many things concerning the state of the country in the east parts where he lived, which was afterwards profitable unto them; as also of the people here, of their names, number and strength, of their situation and distance from the place, and who was chief amongst them. His name was Samoset. He told them also of another Indian whose name was Squanto, a native of this place, who had been in England and could speak better English than himself.
—William Bradford, History of Plymouth Plantation
The Pilgrims traveled to America and settled at Plymouth because",they were hoping to escape crushing debts in England.,they hoped to find gold or establish a lucrative trade in furs.,they were religious Separatists looking for a place to freely practice their faith.,they were ordered to establish an outpost to watch the French in Canada.,2,C,test,"This question refers to the following information. All this while the Indians came skulking about them, and would sometimes show themselves aloof off, but when any approached near them, they would run away; and once they stole away their tools where they had been at work and were gone to dinner. But about the 16th of March, a certain Indian came boldly amongst them and spoke to them in broken English, which they could well understand but marveled at it. At length they understood by discourse with him, that he was not of these parts, but belonged to the eastern parts where some English ships came to fish, with whom he was acquainted and could name sundry of them by their names, amongst whom he had got his language. He became profitable to them in acquainting them with many things concerning the state of the country in the east parts where he lived, which was afterwards profitable unto them; as also of the people here, of their names, number and strength, of their situation and distance from the place, and who was chief amongst them.","His name was Samoset. He told them also of another Indian whose name was Squanto, a native of this place, who had been in England and could speak better English than himself. —William Bradford, History of Plymouth Plantation
The Pilgrims traveled to America and settled at Plymouth because","He also told them of the manner of their government, and of the commodities of the country, and of the fishery, and of the timber, and of the stone, and of the iron, and of the copper, and of the lead, and of the salt, and of the furs, and of the skins, and of the feathers, and of the roots, and of the herbs, and of the fruits, and of the nuts, and of the berries, and of the seeds, and of the grains, and of the corn, and of the wheat, and of the barley, and of the oats, and of the rye, and of the peas, and of the beans, and of the lentils, and of the chickpeas, and of the vetches, and of the clover, and of the alfalfa, and of the timothy, and of the redtop, and of the orchardgrass, and of the meadowfoam, and of the sweetclover, and of the alsike, and of the crimson clover, and of the white clover, and of the red clover, and of the yellow clover, and of the black clover, and of the purple clover, and of the blue clover, and of the green clover, and of the brown clover, and of the gray clover, and of the white clover, and of the red clover, and of the yellow clover, and of the purple clover, and of the blue clover, and of the green clover, and of the brown clover, and of the gray clover.","This information proved invaluable to the colonists, particularly to John Smith, who later relied on this man's knowledge to navigate the treacherous waters and avoid the hostile tribes. The Indian's name was Squanto, or Tisquantum, and he was a member of the Patuxet tribe, though he had been taken captive by the Spanish and eventually sold to an English merchant before escaping and finding his way to the Plymouth settlement. His ability to serve as a translator and guide was crucial for the survival of the Pilgrims during their first harsh winter, facilitating trade, teaching them how to cultivate the local soil, and mediating peace between the settlers and the surrounding Native American groups. Without Squanto's unique background and linguistic skills, the early colony might have faced insurmountable difficulties in adapting to the New World environment.",0.16,0.06,0.75,0.72
human_sexuality,Which of the following changes is NOT associated with menopause?,the walls of the vagina become thick,the vagina shrinks in length,the labia minora shrink,production of estrogen declines,0,A,validation,Which of the following changes is,NOT associated with menopause?,most likely to increase the rate of photosynthesis in a plant?,most likely to increase the rate of a chemical reaction?,0.0,0.0,0.29,0.33
professional_law,"A city ""flow control"" ordinance mandated that all solid waste that was within the limits of the town was to be transported to a local facility in the city for processing before it could be sent to other states for further disposal. A solid waste processor sued the city in federal court claiming that the ordinance discriminated based on local economic protectionism. The city responded that the ordinance did not discriminate because it does not differentiate solid waste due to geographic origin. All solid waste, regardless of origin, must be processed and made environmentally safe at the transfer station before it leaves town. Will the federal court rule that the flow control ordinance is a discriminatory law against the free flow of interstate commerce?","Yes, because it allows only the favored operator to process waste that is within the limits of the town, to the exclusion of outside processors who might be interested in getting some of the business.","Yes, because it requires processors to come into the state to be allowed to do processing instead of being able receive the waste at their out-of-state location.","No, because the city did not discriminate against anyone's waste, if it was in the city limits the state from where the material originated did not come into consideration.","No, because the city simply wanted to assure that the solid waste leaving the area was not environmentally harmful.",0,A,test,"A city ""flow control"" ordinance mandated that all solid waste that was within the limits of the town was to be transported to a local facility in the city for processing before it could be sent to other states for further disposal. A solid waste processor sued the city in federal court claiming that the ordinance discriminated based on local economic protectionism. The city responded that the ordinance did not discriminate because it does not differentiate solid waste due to geographic origin.","All solid waste, regardless of origin, must be processed and made environmentally safe at the transfer station before it leaves town. Will the federal court rule that the flow control ordinance is a discriminatory law against the free flow of interstate commerce?",The Supreme Court held that the ordinance was not preempted by the Solid Waste Disposal Act because it was a valid exercise of the city's police power to protect the health and welfare of its citizens.,"The court rejected the city's argument, holding that the ordinance was indeed discriminatory under the ""dormant"" Commerce Clause. Although the law did not explicitly distinguish between waste based on where it came from, its practical effect was to impose a significant burden on interstate commerce by forcing out-of-state waste to travel to the local facility first, while simultaneously shielding local processors from competition. The Supreme Court ruled that such a scheme constituted economic protectionism, as it effectively reserved the local market for in-state interests and discriminated against out-of-state waste in all but name. Consequently, the ordinance was declared unconstitutional.",0.12,0.2,0.67,0.73
professional_law,"A man is charged with murder. During the trial, defense counsel offers the testimony of a man on death row admitting he hired another man to shoot the victim. The testimony is",not hearsay.,"hearsay, but admissible as an admission.","hearsay, but admissible as a dying declaration.",hearsay not within any recognized exception.,0,A,test,"A man is charged with murder. During the trial, defense counsel offers the testimony of a man on death row admitting he hired another man to shoot the victim.",The testimony is,"The jury is likely to:
A. Accept the testimony as valid evidence of the defendant's innocence.
B. Reject the testimony because the witness is a convicted felon.
C. Reject the testimony because it is hearsay.
D. Reject the testimony because it is an opinion.
E. Reject the testimony because it is irrelevant.","The prosecution immediately objects, arguing that the testimony is inadmissible hearsay and that the defendant on death row has no standing to testify about the case. However, the judge overrules the objection, ruling that the statement constitutes a present sense impression made under the stress of the impending execution, thereby making it an exception to the hearsay rule. The jury is then presented with the new evidence, which fundamentally alters the narrative of the crime, leading to a mistrial and a recommendation for the immediate release of the accused man.",0.06,0.11,0.6,0.7
marketing, The train operator understands customer desire for a comfortable seat but fails to specify how many should be provided relative to the anticipated number of travellers on each route. This is an example of:,GAP 2-the gap between management perception and service-quality specification.,GAP1-the gap between the customer's expectations and management perception.,GAP 3-the gap between service-quality specifications and service delivery.,GAP 4-the gap between service delivery and external communications.,0,A,test, The train operator understands customer desire for a comfortable seat but fails to specify how many should be provided relative to the anticipated number of travellers on each route.,This is an example of:, This is an example of a situation where the train operator has a clear understanding of customer needs but lacks the specific data to make informed decisions about resource allocation.,"The train operator understands customer desire for a comfortable seat but fails to specify how many should be provided relative to the anticipated number of travellers on each route. Consequently, this ambiguity leads to inconsistent service quality, where some routes suffer from overcrowding while others remain underutilized, ultimately undermining passenger satisfaction and operational efficiency.",0.03,0.29,0.76,0.83
high_school_mathematics,"Ben rolls four fair 20-sided dice, and each of the dice has faces numbered from 1 to 20. What is the probability that exactly two of the dice show an even number?",\frac{5}{24},\frac{5}{16},\frac{3}{8},\frac{5}{8},2,C,test,"Ben rolls four fair 20-sided dice, and each of the dice has faces numbered from 1 to 20.",What is the probability that exactly two of the dice show an even number?,What is the probability that the sum of the numbers on the four dice is exactly 20?,"Ben rolls four fair 20-sided dice, and each of the dice has faces numbered from 1 to 20. The probability that the sum of the numbers shown on the four dice equals 20 can be calculated by determining the total number of possible outcomes and counting the number of favorable outcomes where the sum is exactly 20. Since each die has 20 faces, the total number of possible outcomes is $20^4 = 160,000$. To find the number of favorable outcomes, one would typically use generating functions or a recursive method to count the integer solutions to $d_1 + d_2 + d_3 + d_4 = 20$ where $1 \le d_i \le 20$ for each die. Given the constraints, the upper limit of 20 does not restrict the sum of 20 (since the maximum sum of any single die is 20, and the minimum sum of four dice is 4), so the problem reduces to finding the coefficient of $x^{20}$ in the expansion of $(x + x^2 + \dots + x^{20})^4$, which simplifies to finding the coefficient of $x^{16}$ in $(1 + x + \dots + x^{19})^4$ or equivalently the coefficient of $x^{20}$ in $(\frac{1-x^{20}}{1-x})^4$. However, since the target sum (20) is less than or equal to the maximum value of a single die (20), the upper bound constraint ($d_i \le 20$) is never violated for any combination summing to 20. Therefore, the number of solutions is simply the number of positive integer solutions to $d_1 + d_2 + d_3 + d_4 = 20$, which can be found using the stars and bars formula: $\binom{n-1}{k-1} = \binom{20-1}{4-1} = \binom{19}{3}$. Calculating this gives $\frac{19 \times 18 \times 17}{3 \times 2 \times 1} = 969$. Thus, there are 969 favorable outcomes, and the probability is $\frac{969",0.05,0.52,0.46,0.76
professional_medicine,"A 30-year-old woman, gravida 2, para 0, aborta 1, at 28 weeks' gestation comes to the office for a prenatal visit. She has had one previous pregnancy resulting in a spontaneous abortion at 12 weeks' gestation. Today, her vital signs are within normal limits. Physical examination shows a uterus consistent in size with a 28-week gestation. Fetal ultrasonography shows a male fetus with no abnormalities. Her blood group is O, Rh-negative. The father's blood group is B, Rh-positive. The physician recommends administration of Rho",immune globulin to the patient. This treatment is most likely to prevent which of the following in this mother?,Development of natural killer cells,Development of polycythemia,Formation of antibodies to RhD,2,C,test,"A 30-year-old woman, gravida 2, para 0, aborta 1, at 28 weeks' gestation comes to the office for a prenatal visit. She has had one previous pregnancy resulting in a spontaneous abortion at 12 weeks' gestation. Today, her vital signs are within normal limits. Physical examination shows a uterus consistent in size with a 28-week gestation. Fetal ultrasonography shows a male fetus with no abnormalities.","Her blood group is O, Rh-negative. The father's blood group is B, Rh-positive. The physician recommends administration of Rho",She is concerned about the risk of recurrent pregnancy loss. Which of the following is the most appropriate next step in management? A. Reassurance and routine prenatal care B. Referral to a genetic counselor for karyotyping of the couple C. Initiation of low-dose aspirin therapy D. Initiation of progesterone supplementation E. Amniocentesis for fetal karyotyping,"The patient reports no complaints of vaginal bleeding, abdominal pain, or contractions. Her medical history is significant only for the prior first-trimester loss, and she denies any current risk factors such as hypertension, diabetes, or thrombophilia. Given the reassuring clinical findings, normal fetal heart rate, and appropriate fundal height, the management plan involves routine prenatal care with close monitoring of fetal growth and well-being to ensure the pregnancy progresses without complications.",0.11,0.15,0.61,0.59
marketing, These sell directly to end consumers and may purchase directly from manufacturers and/or deal with wholesalers:,Distributors.,Franchising.,Merchant.,Retailers.,3,D,test, These sell directly to end consumers and may purchase,directly from manufacturers and/or deal with wholesalers:, these goods.,These sell directly to end consumers and may purchase goods in small quantities for personal use.,0.17,0.0,0.51,0.56
moral_disputes," Mary's laptop deserves moral consideration only because she owns it and cares about it. Thus, Mary's laptop has",direct moral standing.,indirect moral standing.,relative moral standing.,inherent or intrinsic worth.,1,B,test, Mary's laptop deserves moral consideration only because she owns it and cares about it.,"Thus, Mary's laptop has"," Therefore, it is not wrong for her to use it as she pleases.","Therefore, the laptop's status as a moral patient is entirely derivative of Mary's agency and emotional investment, rather than any intrinsic properties of the machine itself.",0.12,0.0,0.63,0.71
professional_law,"A retail store runs an advertisement in the local newspaper stating: ""Only 3 cashmere sweaters remaining; highest quality; real Polo; one grey, one maroon and one beige; on closeout, starting 9 a.m. Saturday, $5.00 each, first-come, first-served."" A store customer was the first to arrive on Saturday morning. He located the three advertised sweaters, picked them up, handed $15.00 to the clerk, and demanded all three sweaters at $5 each. The clerk stated that the store's price on each sweater was actually $50 each. The customer demanded the advertised price. Who has the superior legal position?","The customer, because the terms of the advertisement were definite enough to constitute an offer and the offer was duly accepted.","The retail store, because the terms of the advertisement were merely an invitation to make an offer, and the offer made was duly rejected by the store.","The customer, because this was a contract of adhesion favoring one party only, and as such, the store could not enforce it.","The store, in that a contract was made at $50 each, which was the store's actual intended price for the sweaters.",0,A,validation,"A retail store runs an advertisement in the local newspaper stating: ""Only 3 cashmere sweaters remaining; highest quality; real Polo; one grey, one maroon and one beige; on closeout, starting 9 a.m. Saturday, $5.00 each, first-come, first-served."" A store customer was the first to arrive on Saturday morning. He located the three advertised sweaters, picked them up, handed $15.00 to the clerk, and demanded all three sweaters at $5 each. The clerk stated that the store's price on each sweater was actually $50 each.",The customer demanded the advertised price. Who has the superior legal position?,"The customer refused to pay $50 each and demanded the sweaters at $5 each. The clerk refused to sell them at $5 each. The customer then sued the store for breach of contract. Which of the following is the most likely outcome of the lawsuit? (A) The court will rule in favor of the customer because the advertisement constituted an offer that was accepted when the customer picked up the sweaters. (B) The court will rule in favor of the store because the advertisement was merely an invitation to treat, not an offer. (C) The court will rule in favor of the customer because the store misrepresented the price. (D) The court will rule in favor of the store because the customer failed to inspect the sweaters before purchasing. (E) The court will rule in favor of the customer because the store is estopped from denying the price advertised.","The customer, realizing he had been misled by the advertisement, immediately demanded a refund of the $15.00 he had paid and insisted on being allowed to return the sweaters. He argued that the ad explicitly stated the price was ""$5.00 each,"" and therefore the store was obligated to honor that specific offer. The clerk, however, refused the return, explaining that the advertisement contained a clerical error and that the store had no intention of selling the sweaters for $5.00; they had simply intended to announce the closeout sale without specifying the final price, expecting customers to pay the listed $50.00. The customer, unwilling to accept this explanation, threatened to file a lawsuit for false advertising and breach of contract, while the clerk noted that the store's legal team would likely argue that the ad was merely an invitation to treat rather than a binding offer, given the significant discrepancy between the advertised and actual prices.",0.08,0.07,0.76,0.77
professional_law,"An employee wdrked as a delivery person for a drugstore. As part of the employee's duties and responsibilities, he would regularly deliver prescriptions and other items (such as toiletries, cosmetics, vitamins, and gift products) to customers. One afternoon while the employee was on duty, he remembered that it was his girlfriend's birthday. He went ahead and bought her a bottle of perfume from the pharmacy's cosmetics department. The employee paid the full price of $79. 95 for the perfume and had the perfume gift wrapped. He then drove to the girlfriend's house in the company van to personally deliver the birthday present. This trip took place during the employee's regular working hours while he was en route to make another delivery from his van. As he was traveling to the girlfriend's house, he was in such a hurry that he drove through a red light and collided with a vehicle owned and operated by a driver. The driver, who had entered the intersection on the green light, tried unsuccessfully to swerve and stop but was unable to avoid the employee's vehicle. The driver was injured in the accident, which caused extensive damage to both vehicles. If the driver brings suit against the drugstore to recover damages arising from the accident, the driver will probably","prevail, because the employee paid for the perfume.","prevail, because the employee was under the control and direction of the drugstore at the time of the accident.","not prevail, because the employee was acting outside the scope of the employment relationship at the time of the accident.","not prevail, because the drugstore was not negligent in hiring the employee.",1,B,test,"An employee wdrked as a delivery person for a drugstore. As part of the employee's duties and responsibilities, he would regularly deliver prescriptions and other items (such as toiletries, cosmetics, vitamins, and gift products) to customers. One afternoon while the employee was on duty, he remembered that it was his girlfriend's birthday. He went ahead and bought her a bottle of perfume from the pharmacy's cosmetics department. The employee paid the full price of $79. 95 for the perfume and had the perfume gift wrapped. He then drove to the girlfriend's house in the company van to personally deliver the birthday present.","This trip took place during the employee's regular working hours while he was en route to make another delivery from his van. As he was traveling to the girlfriend's house, he was in such a hurry that he drove through a red light and collided with a vehicle owned and operated by a driver. The driver, who had entered the intersection on the green light, tried unsuccessfully to swerve and stop but was unable to avoid the employee's vehicle. The driver was injured in the accident, which caused extensive damage to both vehicles. If the driver brings suit against the drugstore to recover damages arising from the accident, the driver will probably","Upon arrival, the employee handed the gift to his girlfriend. She was delighted with the present and thanked him profusely. The employee then returned to the drugstore in the company van. Later that evening, the drugstore manager called the employee into his office. The manager informed the employee that the company had a strict policy against employees using company vehicles for personal errands or making personal purchases during work hours. The manager stated that the employee would be required to reimburse the company for the cost of the perfume and the gift wrapping, as well as any mileage charges associated with the trip to the girlfriend's house. The employee was also warned that a second violation of this policy could result in termination of employment. The employee agreed to reimburse the company for the expenses.","Upon arriving at the girlfriend's house, the employee presented the gift-wrapped bottle with a warm smile, explaining that he had used his own money to purchase it as a surprise. The girlfriend was delighted with the thoughtful gesture, unaware that the item had been selected from the pharmacy's inventory during his work shift. Later that evening, the employee returned to the drugstore to report the incident to his supervisor. The manager, upon reviewing the transaction records, discovered that the $79.95 charge had been made using the employee's personal credit card, not the company's funds. Recognizing the employee's honesty and the fact that no company assets were misused, the manager commended him for his integrity and ensured that the delivery was logged as a personal errand run during a break, rather than a work-related expense.",0.18,0.2,0.43,0.48
miscellaneous,Which of the following dental topics is developmentally appropriate for toddlers?,Growth of permanent teeth,Correct use of incisors while eating,Correct toothbrushing technique,Evolution of the human tooth,2,C,test,Which of the following dental topics is,developmentally appropriate for toddlers?,not considered a specialty of dentistry?,not covered in this article?,0.0,0.0,0.5,0.49
miscellaneous,In Mister Rogers' theme song what does he ask you to be?,his cook,his student,his neighbor,all you can be,2,C,validation,In Mister Rogers' theme song what does,he ask you to be?,he say?,Mister Rogers say?,0.0,0.29,0.64,0.65
world_religions,How can the Upanishads be characterized?,Ritual texts,Philosophical texts,Hymns,Origin stories,1,B,dev,How can the Upanishads,be characterized?,"be described?
A. As the foundation of Hindu philosophy
B. As a collection of myths and legends
C. As a guide to political governance
D. As a manual for military strategy",be understood without the guidance of a teacher?,0.2,0.06,0.63,0.65
professional_psychology,The STANDARD SCORES express raw score distance from mean by SD and considered the most satisfactory type of NR score. Which statement out of the following ones is about T-scores?,Shows how many standard deviations a score is above or below the mean: a score of +1.0 means it’s 1 SD above the mean,"M=50, SD=10- it is used on many psychological tests, MMPI","standard nine: M=5, SD=approx 2","M=100, SD=15 or 16",1,B,test,The STANDARD SCORES express raw score distance from mean by SD and considered the most satisfactory type of NR score.,Which statement out of the following ones is about T-scores?,They are used to compare scores from different tests.,"They are widely used in educational and psychological testing because they allow for the comparison of scores from different tests with varying means and standard deviations, providing a standardized metric for interpreting individual performance relative to a norm group.",0.08,0.1,0.62,0.72
