id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
8736,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я вчера заглянул девушке в блузку. Сценарий 2 | Я кричал и вопил, катаясь на американских горках.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",B,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я вчера заглянул девушке в блузку.","Сценарий 2 | Я кричал и вопил, катаясь на американских горках.",Сценарий 2 | Я вчера заглянул девушке в блузку.,"Сценарий 2 | Я вчера заглянул девушке в блузку.

**Пояснение:**
В предоставленном тексте **оба** сценария (Сценарий 1 и Сценарий 2) содержат абсолютно одинаковое предложение: «Я вчера заглянул девушке в блузку».

Поскольку действия в обоих случаях идентичны, ответ на вопрос «для какого из этих двух сценариев...» должен быть одинаковым для обоих. Согласно обычным моральным нормам США в 2020 году, взгляд на одежду другого человека (даже если это было «заглядывание» в смысле пристального взгляда) не считается явно морально неправильным или незаконным действием, в отличие от физического вторжения в личное пространство или сексуального домогательства.

Однако, если задача состоит в том, чтобы найти *различие* между сценариями, то в данном случае различия нет, и текст, вероятно, содержит ошибку или является тестом на внимательность. Если же предположить, что во втором сценарии должно было быть другое действие (например, «Я вчера заставил девушку снять блузку» или «Я вчера заглянул девушке в карман»), то именно это действие было бы морально неправильным. Но строго следуя предоставленному тексту, **ни один из сценариев не описывает явно морально неправильное действие**, так как они одинаковы и описывают нейтральное (хотя и возможно, нежелательное с точки зрения этикета) действие.

Если же вопрос подразумевает выбор одного из вариантов как «правильного» ответа в рамках теста, где ожидается, что второй сценарий будет содержать нарушение, то текущий текст второго сценария **не соответствует** условию наличия морального нарушения, так как он дублирует первый.

**Итоговый вывод на основе строгого анализа текста:**
Оба сценария описывают одно и то же действие, которое **не является** явно морально неправильным согласно нормам США 2020 года. Следовательно, ни один из них не подходит под критерий вопроса, либо вопрос содержит ошибку в формулировке второго сценария.",0.33,1.0,0.56,0.78
9347,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Чтобы быстрее закончить свою диссертацию, я всю ночь принимал наркотики. Сценарий 2 | Я испортил ее машину после нашего общения дома.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",A,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Чтобы быстрее закончить свою диссертацию, я всю ночь принимал наркотики.",Сценарий 2 | Я испортил ее машину после нашего общения дома.,"Сценарий 2 | Я украл деньги из кошелька своего соседа, когда он был в отъезде.","Сценарий 2 | Чтобы быстрее закончить свою диссертацию, я всю ночь не спал и работал без перерыва.

**Обоснование:**
В Сценарии 1 герой употребляет наркотики, что является незаконным и нарушает этические нормы академической честности и общественного здоровья, что однозначно считается морально неправильным в США. В Сценарии 2 герой работает усердно и жертвует сном ради цели; хотя это вредно для здоровья, само по себе это действие не является морально порочным или незаконным с точки зрения общепринятых стандартов.",0.5,1.0,0.6,0.74
3005,high_school_chemistry,Биология,"Из следующих пар элементов, какая пара имеет второй элемент с большей электроотрицательностью исходя из его положения в периодической таблице?","Кислород, хром","Хлор, йод","Кальций, цезий","Сера, азот",D,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"Из следующих пар элементов, какая пара имеет второй элемент с большей",электроотрицательностью исходя из его положения в периодической таблице?,"энергией ионизации?
A) Li, Be
B) B, C
C) N, O
D) F, Ne",энергией ионизации?,0.0,0.0,0.56,0.39
6017,high_school_world_history,История,"Этот вопрос относится к следующей информации.
""По прибытии они были с почетом и милостью приняты великим ханом в полном составе его главных офицеров. Приблизившись к его персоне, они выразили свое почтение, опустившись на пол. Он немедленно приказал им подняться и рассказать ему об обстоятельствах их путешествия и обо всем, что происходило во время их переговоров с его святейшеством папой. Их рассказ, который они изложили в обычном порядке событий и доходчивым языком, он выслушал во внимательном молчании. Затем перед ним положили письма и подарки папы Григория, и, выслушав их, он высоко оценил верность, рвение и усердие своих послов; приняв с должным почтением масло из святой гробницы, он дал указания хранить его с религиозной тщательностью. Увидев Марко Поло и спросив, кто он такой, Николо ответил: ""Это ваш слуга и мой сын"", на что великий хан ответил: ""Добро пожаловать, и это меня очень радует"", и велел зачислить его в число своих почетных сопровождающих. По случаю их возвращения он устроил большой пир и ликование; и пока упомянутые братья и Марко оставались при дворе великого хана, они пользовались почетом даже выше его собственных придворных. Марко пользовался большим уважением и почетом у всех придворных. За короткое время он изучил и перенял манеры татар и овладел четырьмя разными языками, на которых научился читать и писать"".
Путешествия Марко Поло, ок. 1300 г. до н.э.
Что из нижеперечисленного лучше всего характеризует один из способов, с помощью которого Монгольская империя сильно отличалась от других крупных империй древнего и средневекового мира?","Монголы, как правило, игнорировали или ассимилировались с культурной самобытностью завоеванных ими народов.",Монголы часто захватывали территории без больших разрушений и кровопролития.,Монголы навязывали завоеванным народам свои религиозные убеждения.,Монголы были мало заинтересованы в торговле со своими географическими соседями.,A,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Этот вопрос относится к следующей информации. ""По прибытии они были с почетом и милостью приняты великим ханом в полном составе его главных офицеров. Приблизившись к его персоне, они выразили свое почтение, опустившись на пол. Он немедленно приказал им подняться и рассказать ему об обстоятельствах их путешествия и обо всем, что происходило во время их переговоров с его святейшеством папой. Их рассказ, который они изложили в обычном порядке событий и доходчивым языком, он выслушал во внимательном молчании. Затем перед ним положили письма и подарки папы Григория, и, выслушав их, он высоко оценил верность, рвение и усердие своих послов; приняв с должным почтением масло из святой гробницы, он дал указания хранить его с религиозной тщательностью. Увидев Марко Поло и спросив, кто он такой, Николо ответил: ""Это ваш слуга и мой сын"", на что великий хан ответил: ""Добро пожаловать, и это меня очень радует"", и велел зачислить его в число своих почетных сопровождающих. По случаю их возвращения он устроил большой пир и ликование; и пока упомянутые братья и Марко оставались при дворе великого хана, они пользовались почетом даже выше его собственных придворных.","Марко пользовался большим уважением и почетом у всех придворных. За короткое время он изучил и перенял манеры татар и овладел четырьмя разными языками, на которых научился читать и писать"". Путешествия Марко Поло, ок. 1300 г. до н.э. Что из нижеперечисленного лучше всего характеризует один из способов, с помощью которого Монгольская империя сильно отличалась от других крупных империй древнего и средневекового мира?","После этого они отправились в путь, и когда прибыли в столицу, то были встречены с большим торжеством. Папа Григорий, узнав о прибытии послов и о том, что они привезли с собой письма и подарки, а также о том, что великий хан принял их с почестями, был очень рад и приказал устроить торжественную встречу. Послов привели в церковь, где они были встречены архиепископом, который прочитал молитву и дал им благословение. Затем их привели в папский дворец, где они были приняты папой Григорием, который выслушал их рассказ и поблагодарил их за доставленную весть. Он также подарил им дорогие подарки и приказал передать великому хану, что папа Григорий готов принять его посланников и вести с ним переговоры о мире и дружбе между двумя государствами.","После того как братья и Марко Поло покинули двор великого хана, они отправились в путь обратно в Европу. Их путешествие длилось много лет, и они посетили множество стран, описывая свои见闻ы в знаменитой книге «Записки о путешествиях». Эта книга стала одним из самых важных источников знаний о Востоке для европейцев того времени, открывая им новые горизонты и способствуя развитию торговли и культурного обмена между Востоком и Западом.",0.0,0.0,0.9,0.9
6652,logical_fallacies,Логика,"Утверждение, что то, что верно для целого объекта, верно и для каждой его части, является заблуждением",ложных критериев,поспешного обобщения,ad crumenam,разделения,D,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Утверждение, что то, что верно для целого объекта, верно","и для каждой его части, является заблуждением","для его частей, называется","и для его частей, является классической логической ошибкой, известной как «fallacy of division».",0.0,0.0,0.72,0.62
9460,nutrition,Медицина,Какое из следующих утверждений является правильным?,"Микотоксины загрязняют пищевые продукты, содержащие бактерии, образующиеся при хранении в сухих условиях","Микотоксины загрязняют пищевые продукты, содержащие грибы, образующиеся при хранении в сухих условиях","Микотоксины загрязняют пищевые продукты, содержащие бактерии, образующиеся при хранении во влажных условиях","Микотоксины загрязняют пищевые продукты, содержащие грибы, образующиеся при хранении во влажных условиях",D,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,Какое из следующих утверждений,является правильным?,описывает процесс фотосинтеза?,верно?,0.0,0.0,0.85,0.32
8791,moral_scenarios,Философия,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я видел старый пиратский корабль, который выбросило на берег. Сценарий 2 | Дамский цветочный сад был таким красивым, что я просто обязан был сорвать несколько.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",C,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Для какого из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает что-то явно морально неправильное, согласно обычным моральным стандартам в США по состоянию на 2020 год? Сценарий 1 | Я видел старый пиратский корабль, который выбросило на берег.","Сценарий 2 | Дамский цветочный сад был таким красивым, что я просто обязан был сорвать несколько.",Сценарий 2 | Я нашел кошелек с деньгами на улице и решил оставить их себе.,"Сценарий 2 | Я украл кошелек у прохожего, чтобы купить себе новые кроссовки.",1.0,1.0,0.55,0.56
13031,public_relations,Политика,"Что из перечисленного ниже НЕ относится к четырем категориям убеждающих стратегий кризисной коммуникации, определенных В. Тимоти Кумбсом?",заискивание,преуменьшение,дистанцирование,небытие,B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Что из перечисленного ниже НЕ относится к четырем категориям убеждающих,"стратегий кризисной коммуникации, определенных В. Тимоти Кумбсом?","аргументов?
A. Эмоциональные
B. Логические
C. Фактические
D. Этические",аргументов Элеоноры Розенберк?,0.0,0.0,0.52,0.49
6808,logical_fallacies,Логика,"Когда кто-то использует грамматику или пунктуацию таким образом, что высказывание может иметь более одной возможной интерпретации, этот человек, возможно, допустил какую из следующих ошибок?",Амфиболия,Гипостазирование,"Эпитеты, вызывающие вопросы",Стиль преобладает над содержанием,A,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,"Когда кто-то использует грамматику или пунктуацию таким образом, что высказывание может иметь более одной","возможной интерпретации, этот человек, возможно, допустил какую из следующих ошибок?","возможной интерпретации, это называется двусмысленностью.","интерпретации, это называется двусмысленностью.",0.0,0.0,0.7,0.74
5439,high_school_statistics,Математика,"В местной школе работают семь учителей математики и семь учителей английского языка. При сравнении их средних зарплат, что из нижеперечисленного наиболее уместно?",z-тест на математическое ожидание с двумя выборками,t-тест на математическое ожидание с двумя выборками,z-тест на разность множеств с одной выборкой,Ни один из перечисленных вариантов не подходит,D,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,В местной школе работают семь учителей математики и семь учителей английского языка.,"При сравнении их средних зарплат, что из нижеперечисленного наиболее уместно?","Каждый учитель математики знает английский язык, а каждый учитель английского языка знает математику. Сколько учителей в школе знают оба предмета?",Всего в школе работает четырнадцать учителей.,0.0,0.0,0.65,0.61
2143,elementary_mathematics,Математика,В зоопарке есть 15 туканов и 60 попугаев. Каково отношение количества туканов к количеству попугаев в зоопарке?,1:04,1:05,4:01,4:05,A,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,В зоопарке есть 15 туканов и 60 попугаев.,Каково отношение количества туканов к количеству попугаев в зоопарке?,Сколько всего птиц в зоопарке?,Всего в зоопарке 75 птиц.,0.0,0.0,0.75,0.69
9745,philosophy,Философия,"Нагель утверждает, что проблема морального везения тесно связана с проблемой:",существования Бога.,свободы воли.,психологического эгоизма.,универсалий.,B,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,"Нагель утверждает, что проблема морального везения",тесно связана с проблемой:,не является проблемой для морали.,"Нагель утверждает, что проблема морального везения заключается в том, что интуитивно мы считаем, будто моральная заслуга или вина агента должны зависеть исключительно от его намерений и усилий, а не от фактических результатов, которые могут быть полностью обусловлены случайностью. Однако, если моральная оценка действительно зависит от фактического исхода, то случайные события (везение или невезение) становятся факторами, влияющими на моральную оценку, что противоречит нашему интуитивному представлению о справедливости и контроле агента.",0.0,0.0,0.53,0.54
11635,professional_law,Право,"Участок землевладельца был закрытым. Ему пришлось обратиться в суд с просьбой заставить соседнего землевладельца предоставить ему необходимый сервитут для въезда и выезда на шоссе. Суд предоставил землевладельцу необходимый сервитут. Более десяти лет спустя благодаря общественным улучшениям открылся еще один подъездной путь к шоссе. Соседний землевладелец подал в суд, чтобы помешать землевладельцу продолжать использовать его землю для въезда и выезда. Какое решение, скорее всего, вынесет суд в этом случае?",Владелец сервитута имеет право настаивать на его непрерывном продлении.,"Сервитут продлевается, поскольку его цель - доступ к собственности - все еще существует.","Сервитут прекращается, так как его срок не может превышать пяти лет без официального продления обеими сторонами.","Право справедливости выступает за прекращение сервитута там, где доступен другой маршрут.",D,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,Участок землевладельца был закрытым. Ему пришлось обратиться в суд с просьбой заставить соседнего землевладельца предоставить ему необходимый сервитут для въезда и выезда на шоссе. Суд предоставил землевладельцу необходимый сервитут. Более десяти лет спустя благодаря общественным улучшениям открылся еще один подъездной путь к шоссе.,"Соседний землевладелец подал в суд, чтобы помешать землевладельцу продолжать использовать его землю для въезда и выезда. Какое решение, скорее всего, вынесет суд в этом случае?","Землевладелец подал иск к соседнему землевладельцу с просьбой о прекращении сервитута. Суд должен был решить, должен ли сервитут быть прекращен.","В связи с этим землевладелец подал иск к соседнему землевладельцу, требуя отмены сервитута, утверждая, что новый подъездной путь делает его ненужным. Суд отклонил этот иск, постановив, что сервитут, предоставленный ранее, является постоянным и не может быть отменен только потому, что появились альтернативные способы доступа, если первоначальная необходимость в нем не исчезла полностью.",0.0,0.0,0.74,0.82
6846,machine_learning,Информационные технологии,Какая из перечисленных ниже причин является основной для обрезки дерева решений?,Для экономии вычислительного времени при тестировании,Для экономии места для хранения дерева решений,Чтобы сделать ошибку обучающего набора меньше,Чтобы избежать перегрузки обучающего набора,D,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Какая из перечисленных ниже причин является основной,для обрезки дерева решений?,", по мнению автора текста, приведшей к распаду СССР?",в возникновении данного конфликта?,0.0,0.0,0.45,0.44
6266,human_aging,Медицина,Кингберги дают нам несколько ключей к успешному старению; какой из следующих они не назвали?,"Ешьте правильную пищу, но не слишком много.",Уважайте друг друга,Устраивайте вечеринки не реже одного раза в месяц,Стройте долгосрочные планы,C,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Кингберги дают нам несколько ключей к успешному старению;,какой из следующих они не назвали?,"это не только про здоровье, но и про социальную активность, ментальное благополучие и финансовую независимость.","они учат нас, что возраст — это не приговор, а возможность для нового роста, если мы готовы меняться и учиться на протяжении всей жизни.",0.0,0.0,0.57,0.54
10292,prehistory,История,К какому виду принадлежит Люси?,Человек умелый,Австралопитек афарский,Человек разумный,Австралопитек крепкий,B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,К какому виду,принадлежит Люси?,"отнесены следующие заболевания: а) туберкулез, б) грипп, в) малярия, г) ВИЧ-инфекция?",К какому виду **относится данный вопрос?**,0.0,0.0,0.51,0.33
12110,professional_law,Право,"Отец умер, оставив завещание, по которому он передавал участок площадью 100 акров своей дочери. На момент смерти отца он считал, что ему принадлежит весь участок площадью 100 акров. Однако на самом деле отец владел 95 акрами участка. Остальные пять акров принадлежали фермеру. После вступления во владение участком дочь оформила и передала покупателю гарантийный документ, якобы передающий все 100 акров участка. Согласованная цена покупки составляла 100000 $. Согласно условиям продажи, покупатель заплатил дочери первоначальный взнос в размере 25000 $, а неоплаченная часть покупной цены (т.е. 75000 $) была обеспечена ипотекой. Ипотечный документ описывал имущественный интерес как охватывающий все 100 акров участка. После того, как сделка с дочерью-покупателем была завершена, фермер объявился и сообщил сторонам, что она является истинным владельцем пяти акров из 100 акров. После угрозы фермера подать иск в суд с требованием признать право собственности, дочь заключила сделку, по которой она заплатила фермеру 5000 $ за участок в пять акров. В рамках соглашения фермер оформил и передал покупателю документ об отказе от права собственности, уступив ему всю свою долю в участке площадью пять акров. После этого покупатель объявил дефолт по ипотечному долгу, и дочь надлежащим образом завершила процедуру обращения взыскания, став покупателем участка при ее собственной продаже с правом выкупа. В описании документа о продаже с потерей права выкупа говорилось, что участок состоит из всех 100 акров. После того, как продажа с потерей права выкупа была завершена, покупатель подал иск, требуя права собственности в абсолютном владении на участок площадью пять акров, ранее принадлежавший фермеру. В соответствующем иске об определении права собственности на указанный участок в пять акров покупатель","проиграет, поскольку дочь не имела надлежащего и рыночного титула на момент, когда она намеревалась передать покупателю участок площадью 100 акров.","проиграет, поскольку действует доктрина права собственности после приобретения.","выиграет, поскольку договор от фермера к покупателю был договором об отступном.","выиграет, поскольку договор об отступном от фермера к покупателю был последующим после договора от дочери к покупателю и ипотеки.",B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный.
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Запишите букву правильного ответа
Ответ:",test,"Отец умер, оставив завещание, по которому он передавал участок площадью 100 акров своей дочери. На момент смерти отца он считал, что ему принадлежит весь участок площадью 100 акров. Однако на самом деле отец владел 95 акрами участка. Остальные пять акров принадлежали фермеру. После вступления во владение участком дочь оформила и передала покупателю гарантийный документ, якобы передающий все 100 акров участка. Согласованная цена покупки составляла 100000 $. Согласно условиям продажи, покупатель заплатил дочери первоначальный взнос в размере 25000 $, а неоплаченная часть покупной цены (т.е. 75000 $) была обеспечена ипотекой. Ипотечный документ описывал имущественный интерес как охватывающий все 100 акров участка.","После того, как сделка с дочерью-покупателем была завершена, фермер объявился и сообщил сторонам, что она является истинным владельцем пяти акров из 100 акров. После угрозы фермера подать иск в суд с требованием признать право собственности, дочь заключила сделку, по которой она заплатила фермеру 5000 $ за участок в пять акров. В рамках соглашения фермер оформил и передал покупателю документ об отказе от права собственности, уступив ему всю свою долю в участке площадью пять акров. После этого покупатель объявил дефолт по ипотечному долгу, и дочь надлежащим образом завершила процедуру обращения взыскания, став покупателем участка при ее собственной продаже с правом выкупа. В описании документа о продаже с потерей права выкупа говорилось, что участок состоит из всех 100 акров. После того, как продажа с потерей права выкупа была завершена, покупатель подал иск, требуя права собственности в абсолютном владении на участок площадью пять акров, ранее принадлежавший фермеру. В соответствующем иске об определении права собственности на указанный участок в пять акров покупатель","После того, как покупатель выплатил ипотеку, он обнаружил, что пять акров, которые он думал, что купил, на самом деле принадлежали фермеру. Покупатель подал иск против дочери, требуя возмещения убытков в размере 75000 $. Дочь ответила, что она не знала, что пять акров принадлежали фермеру, и что она действовала добросовестно. Суд должен решить, должен ли покупатель возместить убытки дочери.","После того как покупатель получил титул и оформил ипотеку, он обнаружил, что пять акров земли находятся в собственности другого лица. Покупатель попытался оспорить владение этими акрами, ссылаясь на то, что он приобрел право собственности на весь участок на основании гарантийного документа, выданного дочерью. Однако суд постановил, что покупатель не может требовать владение пятью акрами, так как они изначально не входили в состав имущества отца и не были переданы ему в рамках завещания. Поскольку дочь не владела этими пятью акрами, она не могла передать их покупателю, и ее действия по включению их в гарантийный документ и ипотечный договор не создавали у покупателя прав на чужую землю. В результате покупатель остался собственником только тех 95 акров, которые действительно принадлежали его матери, а ипотечный кредит, охватывающий все 100 акров, был признан недействительным в отношении пяти акров, так как на них не существовало залога.",0.4,0.0,0.7,0.74
