id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
9654,https://itest.kz/ru/endless,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),Государство кангюев было разделено на,9 частей,2 ханства,5 владений,3 царства,,C,test,Государство кангюев было,разделено на,основано в I веке до н. э.,"основано в VI веке до н. э. на территории современного Казахстана и представляло собой мощное кочевое государство, которое играло ключевую роль в истории Центральной Азии, контролируя важные торговые пути и вступая в сложные отношения с соседними империями, такими как Чинг и Хань.",0.0,0.0,0.41,0.62
18860,https://itest.kz/ru/endless,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),Ряд с определительными местоимениями,"Никто, каждый","Самый, весь","Нечего, кто-то","Такой, любой",,B,test,Ряд с,определительными местоимениями,ряд с,рядов,0.0,0.0,0.28,0.4
9369,https://ymnik.kz/tests_old/history_kz/?v=65,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Кіші жүздің ханы Әбілқайырдың беделін көтергендей болған қазақ сұлтандары мен ақсүйектерінің съезі қашан өтті?,1743 ж.,1746 ж.,1742 ж.,1747 ж.,1748 ж.,E,test,Кіші жүздің ханы Әбілқайырдың беделін көтергендей болған қазақ,сұлтандары мен ақсүйектерінің съезі қашан өтті?,хандары кім?,"Кіші жүздің ханы Әбілқайырдың беделін көтергендей болған қазақ **басқарушысы, билері мен ақсақалдарының бірігуі мен бірлігі.**

*(Түсіндірме: Бұл сөйлемнің толық нұсқасы әдетте «Кіші жүздің ханы Әбілқайырдың беделін көтергендей болған қазақ билері мен ақсақалдарының бірігуі» немесе ұқсас мағынадағы тарихи деректерде кездеседі. Әбілқайыр ханның билігінің нығаюы оның артында тұрған билер кеңесі мен ақсақалдардың қолдауына тікелей байланысты болған.)*",0.0,0.0,0.54,0.65
19443,https://itest.kz/ru/endless,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),В каком из примеров показано противопоставление паронимов?,"Чтобы хорошо говорить, надо хорошо знать язык.",Переливает из пустого в порожнее.,"Служить бы рад, прислуживаться тошно.","Приятелей много, а друга нет.",,C,test,В каком из примеров,показано противопоставление паронимов?,В каком из примеров,В каком из примеров **правильно употреблено слово «в»**?,0.0,0.0,0.29,0.26
20540,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),В «Слове о полку Игореве» Карна и Желя – это,знатные роды у половцев,половецкие города,"олицетворение скорби, печали и горя",половецкие ханы,,C,test,В «Слове о полку Игореве» Карна,и Желя – это,на не был.,"В «Слове о полку Игореве» Карна **всё ещё не было, так как это произведение написано в XII веке, а Карна (Карл Великий) жил в VIII–IX веках. Скорее всего, в вашем вопросе допущена ошибка в имени или фамилии.**

Если вы имели в виду одного из персонажей или авторов, связанных с этим произведением, вот возможные варианты завершения фразы:

1.  Если речь об авторе: «В «Слове о полку Игореве» **авторство приписывается неизвестному княжескому поэту-летописцу XII века**».
2.  Если речь о персонаже (возможно, вы имели в виду **Кия**, **Святослава**, **Всеслава** или **Бояна**):
    *   «В «Слове о полку Игореве» **Боян поёт о подвиге Игоря**».
    *   «В «Слове о полку Игореве» **Кий, Щек и Хорив — братья, основавшие Киев**».
3.  Если вы имели в виду **Карамзина** (историка): «В «Слове о полку Игореве» **Н.М. Карамзин видел отражение древнерусской государственности**».

Пожалуйста, уточните имя, если вы имели в виду кого-то конкретного, чтобы я мог дать точное завершение.",0.0,0.0,0.49,0.3
307,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),"Өсімдіктермен жануарлардың, саңырауқұлақтардың клеткаларының маңызды органоиді:",Ядро,Цитоплазма,Гольджи апараты,Жасуша,,A,test,"Өсімдіктермен жануарлардың, саңырауқұлақтардың клеткаларының",маңызды органоиді:,негізгі айырмашылығы қандай?,құрылысы мен қызметі.,0.0,0.0,0.85,0.78
1259,https://itest.kz/kz/endless,STEM,Biology,High School,Kazakh,Biology (High School in kaz),1953 жылы А.И.Опариннің тұжырымына негізделген тәжірибелер жасаған ғалымдар:,Томас Чек,А.И.Опарин,Джон Бернал,"С.Л.Миллер, Г.Юри",,D,test,1953 жылы А.И.Опариннің тұжырымына негізделген,тәжірибелер жасаған ғалымдар:,"А.И.Опариннің тұжырымына негізделген ""Жаңа өмірдің пайда болуы"" туралы теорияны қай ғалым дамытты?","1953 жылы А.И.Опариннің тұжырымына негізделген **М.К.Крелдің және С.Л.Миллердің жүргізген тәжірибесі** (немесе **Миллер-Юри тәжірибесі**) өмірдің химиялық эволюциясының алғашқы кезеңдерін модельдеу үшін ақуыздардың пайда болуы туралы гипотезаны дәлелдеді.

Бұл тәжірибеде атмосферадағы су, аммиак, метан және сутегі аралас газдары электр разряды әсерінен аминқышқылдарына айналды, бұл өмірдің биохимиялық негіздерінің жер бетіндегі жағдайларда қалыптасуы мүмкін екенін көрсетті.",0.0,0.0,0.4,0.67
7263,https://ymnik.kz/tests_old/geography/?v=51,Social Science,Geography,High School,Russian,Geography (High School in rus),Географической картой называется,глобус.,"изображение земной поверхности на плоскости, показанное условными знаками в избранном масштабе по математическим правилам.",изображение небольшого участка земной поверхности.,"изображение земной поверхности, показанной на листе бумаги в условных знаках.",изображение Земли на плоскости.,B,test,Географической картой,называется,Географической картой называется изображение земной поверхности на плоскости в уменьшенном виде с помощью условных знаков.,"Географической картой, на которой отмечены все известные города, реки и горы, можно легко найти путь к любой точке земного шара.",0.0,0.0,0.38,0.5
20165,https://itest.kz/ru/endless,Humanities,Russian_Literature,High School,Russian,Russian Literature (High School in rus),"Книга М.М. Зощенко, являющаяся итогом многолетней литературной работы писателя, состоящая из сатирических рассказов, исторических анекдотов, шутливо-серьезных эссе, открывающаяся посвящением А.М. Горькому",«Голубая книга»,«Возвращенная молодость»,«Сентиментальные повести»,«Рассказы Назара Ильича господина Синебрюхова»,,A,test,"Книга М.М. Зощенко, являющаяся итогом многолетней литературной работы писателя, состоящая из сатирических рассказов, исторических анекдотов, шутливо-серьезных эссе, открывающаяся посвящением А.М.",Горькому,"Горького, была издана в 1925 году.","Горькому, представляет собой уникальный сплав юмора и глубокой социальной критики, в котором автор с иронией и добротой изображает быт и нравы советского человека, раскрывая абсурдность бюрократии и человеческую глупость через призму повседневных ситуаций.",0.0,0.0,0.76,0.84
2599,https://oltest.kz/tests/biologiya/,STEM,Biology,University,Russian,Biology (Professional & University in rus),Увеличение леса на 10% способствует повышению годового стока рек на:,"
8-10%",0.01,0.04,0.05,"
4-8%",E,test,Увеличение леса на 10% способствует повышению,годового стока рек на:,биоразнообразия и поглощению углерода.,"Увеличение леса на 10% способствует повышению биоразнообразия, улучшению качества воздуха и смягчению последствий изменения климата за счет поглощения углекислого газа.",0.0,0.0,0.47,0.5
18914,https://itest.kz/ru/endless,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),Предложение с прилагательным в форме составной (сложной) сравнительной степени,"И делает это нас добрее к людям, лучше и чище.","Проселочные дороги забываются, уступая место новым большим и более удобным дорогам.",Почувствуешь горько-свежий запах листьев в осеннем лесу.,Баянаульские горы заселялись человеком с древнейших времен.,,B,test,Предложение с прилагательным в форме,составной (сложной) сравнительной степени,-а.,существительного.,0.0,0.0,0.49,0.36
15588,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Ра­ди­ус ос­но­ва­ния ко­ну­са равен 6, а его вы­со­та равна 8. Плос­кость се­че­ния со­дер­жит вер­ши­ну ко­ну­са и хорду ос­но­ва­ния, длина ко­то­рой равна 4. Най­ди­те рас­сто­я­ние от цен­тра ос­но­ва­ния ко­ну­са до плос­ко­сти се­че­ния.",\(\frac{4\sqrt3}5\),\(3\sqrt3\),\(\frac{\sqrt3}3\),\(\frac{8\sqrt3}3\),,D,test,"Ра­ди­ус ос­но­ва­ния ко­ну­са равен 6, а его вы­со­та равна 8. Плос­кость се­че­ния со­дер­жит вер­ши­ну ко­ну­са и хорду ос­но­ва­ния, длина ко­то­рой равна 4.",Най­ди­те рас­сто­я­ние от цен­тра ос­но­ва­ния ко­ну­са до плос­ко­сти се­че­ния.,"Найти объём большей части конуса, на которую эта плоскость делит конус.",Найти площадь сечения.,0.0,0.0,0.8,0.71
9134,https://ymnik.kz/tests_old/history_kz/?v=24,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),А.Македонскийдің Сырдариядан өтіп сақтарға қалай шабуыл жасағаны туралы жазған,Полиэн,Геродот,Трог,Помпей,Арриан,E,test,А.Македонскийдің Сырдариядан өтіп сақтарға қалай,шабуыл жасағаны туралы жазған,өтті?,"А.Македонскийдің Сырдариядан өтіп сақтарға қалай жеңгені туралы тарихи деректерде толық ақпарат жоқ, себебі Александр Македонскийдің әскерлері Сырдария өзенінен өткені туралы нақты жазба сақталмаған. Оның батысқа қарайғы жорығында (б.з.д. IV ғ.) ол негізінен Орталық Азияның оңтүстік-шығыс бөлігін, яғни Бактрия мен Согдиана аймақтарын бағындырған. Сырдария бойындағы шайқастар, әсіресе Сақтармен болған соғыстар туралы деректер шашыраңқы және көбінесе кейінгі ғасырлардағы жазба деректерге негізделген. Сондықтан, бұл сұраққа нақты жауап беру үшін тарихи деректерді қайта қарау қажет.",0.0,0.0,0.55,0.64
9445,https://itest.kz/kz/endless,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Қасым хан өмірінің соңғы кезінде билік жүргізді,Сарайшықта,Түркістанда,Сайрамда,Сығанақта,,A,test,Қасым хан өмірінің соңғы,кезінде билік жүргізді,жылдарында қайтыс болды.,"жылдарындағы іс-әрекеттері мен тарихи маңызы туралы қысқаша шолу.

Қасым хан (1511–1521) – Қазақ хандығының үшінші билеушісі. Ол хандықтың аумағын кеңейтіп, Орталық Азиядағы саяси тепе-теңдікті сақтауға үлес қосты. Дегенмен, оның билік құру кезеңі қысқа болғанымен, қазақ хандығының дамуында маңызды рөл атқарды.",0.0,0.0,0.6,0.73
14022,https://oltest.kz/tests/menedzhment_i_marketing/,"Social Science





",Management and Marketing ,University,Russian,Management and Marketing (Professional & University in rus),"Назовите цели государственного управления, которые означают формирование правовой системы при помощи демократических институтов и механизмов правового государства:
","Политические цели
","Организационно-правовые цели
","Обеспечительные цели
","Структурированные цели
","Социально-экономические цели
",B,test,"Назовите цели государственного управления, которые означают формирование правовой системы при","помощи демократических институтов и механизмов правового государства:
",участии государства и общества.,"Назовите цели государственного управления, которые означают формирование правовой системы при **создании и функционировании правового государства.**",0.0,0.0,0.71,0.8
8461,https://oltest.kz/tests/gosudarstvo_i_pravo/,"Social Science





","Jurisprudence, state and law",University,Russian,Jurisprudence (Professional & University in rus),"Какие критерии и факторы принимаются во внимание при использовании цивилизационного подхода в типологии государства?
","национальные особенности и традиции
","уровень развития производительных сил общества
","классовые противоречия и классовая борьба
","комплекс социально-экономических условий, включающих этнических, религиозные основы, степень гармонизации человека и природы, состояние свободы личности во всех его проявлениях
","климатические и географические условия
",B,test,Какие критерии и факторы принимаются во внимание при,"использовании цивилизационного подхода в типологии государства?
",оценке эффективности государственного управления в Казахстане?,оценке эффективности и качества работы сотрудников в организации?,0.0,0.0,0.45,0.53
6359,https://itest.kz/kz/endless,Social Science,Geography,High School,Kazakh,Geography (High School in kaz),Күннен үшінші орналасқан ғаламшарды табыңыз.,Шолпан,Марс,Меркурий,Жер,,D,test,Күннен үшінші орналасқан,ғаламшарды табыңыз.,планета Марс.,Марс планетасы.,0.0,0.0,0.72,0.73
3028,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),Қосымша топша элементтері,"\(Zn,Al,Mg\)","\(Ca,Ba,Ag\)","\(Na,K,Os\)","\(Fe,Co,Ni\)",,D,test,Қосымша топша,элементтері,"Қосымша топша – бұл сөйлемдегі немесе сөйлем мүшесіндегі мағыналық қосымша элемент, ол негізгі ойды толықтырады немесе нақтылайды. Мысалы: ""Ол кеше келді"" деген сөйлемге ""кеше"" сөзі қосымша топша ретінде қызмет етеді, себебі ол уақытты нақтылайды.","Қосымша топша — бұл сөйлемдегі басқа сөздерден бөлек, оның мағынасын толықтыруға немесе нақтылауға қызмет ететін, бірақ сөйлемнің негізгі мүшесі (бастауыш, баяндауыш, анықтама) болып саналмайтын сөз немесе сөз тіркесі. Ол көбінесе сөйлемнің соңында тұрады және мағыналық қатынасы бойынша қосымша, шартты немесе шектеуші рөл атқарады. Мысалы: «Ол кітап оқыды, бірақ ұйықтап қалды» деген сөйлемде «бірақ ұйықтап қалды» бөлігі қосымша топша болып табылады, себебі ол негізгі іс-әрекеттің нәтижесін немесе қарсы қойылған жағдайды білдіреді.",0.0,0.0,0.41,0.44
14980,https://itest.kz/kz/endless,STEM,Math,High School,Kazakh,Math (High School in kaz),1 алма 6 балаға теңдей бөлінді. Әр бала қанша алмадан алды?,\(4\over5\),\(1\over3\),\(1\over6\),\(2\over3\),,C,test,1 алма 6 балаға теңдей бөлінді.,Әр бала қанша алмадан алды?,Әрқайсысына неше алма түсті?,Әрқайсысына 6 алма түсті.,0.0,0.0,0.9,0.86
7606,https://ymnik.kz/tests_old/geography/?v=92,Social Science,Geography,High School,Russian,Geography (High School in rus),Наиболее низкие температуры наблюдаются в районе:,Северного тропика.,Полюсов.,Южного тропика.,Экватора.,Умеренных широт.,B,test,Наиболее низкие температуры наблюдаются,в районе:,в Антарктиде.,"в приполярных регионах и высокогорьях, где солнечная радиация минимальна или отражается от снежного покрова.",0.0,0.0,0.54,0.61
8954,https://itest.kz/kz/endless,Humanities,Kazakh_History,High School,Kazakh,Kazakh History (High School in kaz),Қазақ-орыс еңбекшілерінің интернационалдық бой көрсетуінің ең ірісі:,Павлодардағы жұмысшылар митингісі,Жосалы мен Шалқардағы ұйымдасқан қарсылықтар,Успен кенішіндегі ереуіл,Омбыдағы саяси бой көрсету,,C,test,Қазақ-орыс еңбекшілерінің интернационалдық бой,көрсетуінің ең ірісі:,"ық рухы туралы айтқан қазақтың ұлы ақыны Абай Құнанбайұлының: «Біздің елдегі еңбекшілердің бәрі де бір-біріне қарым-қатынаста болуы керек» деген сөзіне сүйене отырып, оның интернационалдық идеясын талдап көріңіз.","Қазақ-орыс еңбекшілерінің интернационалдық **белесі**.

*(Түсіндірме: Бұл сөйлемнің толық нұсқасы: ""Қазақ-орыс еңбекшілерінің интернационалдық белесі"". ""Белес"" сөзі бұл контексте ""байланыс"", ""қарым-қатынас"" немесе ""бірлік"" деген мағынаны білдіреді.)*",0.0,0.0,0.5,0.47
13333,https://itest.kz/ru/endless,Humanities,Law,High School,Russian,Law (High School in rus),Античная философия появилась в,V в. до н.э.,VI в. до н.э.,I в. до н.э.,II в. до н.э.,,B,test,Античная философия,появилась в,1. Философия как наука о мире и человеке. 2. Философия как наука о бытии. 3. Философия как наука о познании. 4. Философия как наука о ценностях. 5. Философия как наука о культуре. 6. Философия как наука о религии. 7. Философия как наука о политике. 8. Философия как наука о искусстве. 9. Философия как наука о этике. 10. Философия как наука о логике.,"Античная философия — это фундамент западной мысли, охватывающий период от древних греков до римских императоров. Она зародилась в Милете в VII веке до н. э. и прошла путь от поиска первоначала бытия у предсократиков до систематизации логики и этики софистами, Сократом, Платоном и Аристотелем. Позже, в эпоху эллинизма и римского периода, акцент сместился на вопросы счастья, добродетели и роли человека в мире, что заложило основы для последующих философских традиций Европы.",0.0,0.0,0.43,0.51
320,https://ymnik.kz/tests_old/biology_kz/?v=13,STEM,Biology,High School,Kazakh,Biology (High School in kaz),Адамның денесін тік ұстауға көмектесетін бұлшықет:,"Құрсақ, екі басты.","Жамбас, балтыр.","Жамбас, арқа.","Арқа, үш басты.","Балтыр, екібасты.",C,test,Адамның денесін тік ұстауға,көмектесетін бұлшықет:,арналған құрылымдық бөлік қайсысы?,"Адамның денесін тік ұстауға **арналған ерекше құрылымдар мен бұлшықеттер.**

*(Түсіндірме: Бұл сөйлем адам анатомиясының негізгі ерекшелігін сипаттайды. Адамның тік жүруіне мүмкіндік беретін негізгі элементтер – омыртқа бағанасының S-тәрізді иілуі, кеуде қуысының пішіні және аяқ сүйектерінің құрылымы.)*",0.0,0.0,0.53,0.83
7571,https://itest.kz/ru/endless,Social Science,Geography,High School,Russian,Geography (High School in rus),Укажите страну с крупнейшим поголовьем свиней.,Таиланд,КНР,Бразилия,Индонезия,,B,test,Укажите страну с,крупнейшим поголовьем свиней.,наибольшей площадью территории.,самым большим населением в мире.,0.0,0.0,0.53,0.54
5380,https://oltest.kz/tests/vospitanie_i_obuchenie/,Humanities,Education and training ,University,Russian,Education and Training (Professional & University in rus),"Основной формой организации обучения в школе является:
",Урок,"Иллюстрация и демонстрация
",Беседа,"Лабораторные занятия
","Практические занятия
",A,test,Основной формой организации обучения,"в школе является:
",в школе является,Основной формой организации обучения является урок.,0.0,0.0,0.61,0.87
